泰文,中文,ㄅㄆㄇㄈ,หมายเหตุ
ตลาดกลางคืนของไต้หวันนั้นมีชื่อเสียงมาก　พวกเธอควรจะลองไปเดินเที่ยวเล่นดูนะ,臺灣的夜市很有名。你們應該去逛逛。,,
ตอนที่มีวันหยุด เธอมักจะไปเที่ยวหรอ,放假的時候，你常去旅行嗎？,,
ตอนที่หิมะตก ฉันมักจะไปเล่นสกีบนภูเขา,下雪的時候，我常去山上滑雪。,,
ตอนที่ไต้ฝุ่นมา ทั้งลมและฝนจะหนักมาก ทำอะไรก็ไม่สะดวกสักอย่าง,颱風來的時候，風和雨都很大，做什麼都很不方便。,,
ตอนนั้น อากาศดีมาก วิวก็สวยมาก ฉันเที่ยวได้อยากมีความสุขสุด ๆ,那個時候，天氣很好，風景也很漂亮，我玩得非常開心。,,
ตอนนี้ฉันจะไปร้านกาแฟแถว ๆ โรงเรียนเพื่อซื้อกาแฟ,我現在要去學校附近的咖啡店買咖啡。,,
ตอนเย็นสี่โมงครึ่ง(16:30)โรงเรียนมีการแข่งขันบาสเกตบอล,下午四點半學校有籃球比賽。,,
ตอนเย็นอยากกินข้าวเย็นด้วยกันไหม,晚上要不要一起吃晚飯？,,~不~
ตั้งแต่ตอนเช้าเจ็ดนาฬิกาถึงตอนกลางวันสิบสองนาฬิกา ราคาถูกที่สุด,從早上七點到中午十二點，最便宜。,,
ถามหน่อยว่าจะเอากลับบ้านหรือทานที่นี่,請問外帶還是內用？,,
ถามหน่อยว่าฉันต้องกินยาไหม / ต้องกิน เธอไปรับยาที่ร้านยานะ,請問我得吃藥嗎？/要，你到藥局去拿藥。,,
ถามหน่อยว่าฉันป่วยเป็นอะไร,請問我生的是什麼病？,,
ถ้างั้น ฉันพาเธอไปศูนย์สุขภาพของโรงเรียน,那麼，我陪你去學校的健康中心。,,
ถ้าตอนนั้นฉันว่าง เดี๋ยวจะไปด้วยกันกับพวกเธอ,要是那時候我有空，就跟你們一起去。,,
ถ้าผลการเรียนไม่ดี ก็จะไม่มีทุนการศึกษาแล้ว,要是成績不好，就沒獎學金了。,,
ถ้ามีโอกาส ฉันอยากจะลองกินดู,要是有機會，我想吃吃看。,,
ทั้งหมดเป็นเท่าไหร่,一共多少錢？,,
ทำยังไงไป,怎麼去？,,
ทำไมถึงต้องนานขนาดนี้หรอ,為什麼要這麼久的時間？,,
ทำไมบริษัทเธอถึงจะจ่ายค่าเทอมให้เธอหรอ,為什麼你公司要替你付學費？,,
ที่ตัวเตี้ยนั้นเป็นเจ้าของโรงแรม ที่ตัวสูงนั้นเป็นน้องชายของเขา,矮的是旅館的老闆，高的是他的弟弟。,,
ที่นั่นคุณหมอดีมาก แถมยังสุภาพกับนักเรียนอีกด้วย,那裡的醫生很好，對學生也很客氣。,,
ที่นั่นเป็นสถานที่ ๆ สวยงามแห่งหนึ่งจริง ๆ,那裡真的是一個漂亮的地方。,,
ที่นี่สะดวกมาก ใกล้ ๆ มีซุปเปอร์มาร์เก็ตกับสถานีรถไฟใต้ดิน เดินห้านาทีก็ถึงแล้ว,這裡很方便，附近有超市和捷運站，走路五分鐘就到了。,,
ที่สถานีรถไฟความเร็วสูง บนอินเทอร์เน็ตหรือไม่ก็ร้านสะดวกซื้อล้วนก็สามารถซื้อตั๋วได้,在高鐵站，網路上或是便利商店都可以買票。,,
ที่เธอพูดถึงมันคือแตงโมใช่ปะ,你說的是西瓜吧？,,
ที่ใส่เสื้อสีเหลืองเป็นภรรยาของเจ้าของโรงแรม,穿黃衣服的是旅館老闆的太太。,,
ที่ใส่เสื้อสีแดง(คน)นี้เป็นแฟน(ญ)ฉัน,穿紅衣服的這個是我女朋友。,,
นักเรียนที่นี่ซื้อของกันที่ไหน,這裡的學生在哪裡買東西？,,
นั่งรถไฟความเร็วสูงทั้งไวทั้งสะดวกสบาย,坐高鐵又快又舒服。,,
นางสาว李เป็นคนอเมริกาหรือไม่,李小姐是美國人嗎？,,嗎
นี่ต้องใช้เงินไม่น้อยเลยนะ,這得花不少錢。,,
นี่เป็นของขวัญที่ฉันให้เธอ,這是我給你的禮物。,,
นี่เป็นประเพณี อย่างไรก็ตาม เดี๋ยวนี้คนวัยรุ่น<u><b>ส่วนมาก</b></u>ฉลองวันเกิดกันก็ไม่กินของพวกนี้แล้ว,這是傳統，不過，現在大部分年輕人過生日不吃這些東西了。,,
น่าจะประมาณสี่ ห้าวัน,大概四，五天。,,
น้ำจากเครื่องทำน้ำอุ่นดูเหมือนไม่อุ่นเลย,熱水器的水好像不熱。,,
บริษัทเราทำธุรกิจกับคนไต้หวัน,我們公司跟臺灣人做生意。,,
บางครั้งก็อยู่บ้านทำการบ้าน บางครั้งก็ออกไปเที่ยวเล่น,有時候在家寫功課，有時候出去玩。,,
บ้าน(๑)เธอมีรูปถ่ายเยอะมาก,你家有很多照片。,,
บ้านทั้งสองหลังนี้<u><b>ล้วน</b></u>เป็นของเขา,這兩個房子都是他的。,,
ประมาณสองปี คือบริษัทเป็นคนกำหนดมาน่ะ,大概兩年，是公司決定的。,,
ผลไม้ที่มีสีเหลืองอันนี้เรียกว่าอะไร,這個黃色的水果叫什麼？,,
ฝนตกหนักขนาดนี้ ทำไม(!ㄨ)เธอไม่เอาร่มมาล่ะ,下雨得這麼大，你怎麼沒帶傘呢？,,
ฝนหยุดแล้ว,雨停了。,,
พรุ่งนี้ฉันอยากจะชวนเธอกินข้าวเย็น ฉลองวันเกิดเธอ,明天我想請你吃晚飯，給你過生日。,,
พรุ่งนี้ทันทีที่ฉันเลิกเรียน เดี๋ยวจะไปโรงเรียนพวกเธอไปหาเธอ,明天我一下課，就去你們學校找你。,,
พรุ่งนี้เราไม่มีเรียน เธออยากไปที่ไหนไหม,明天我們沒有課，你想去哪裡？,,
พวกเธอหัวเราะได้มีความสุขมาก,你們笑得很開心。,,
พวกเราทุกคนแซ่陳,我們都姓陳。,,
พวกเราไปกินอาหารเวียดนาม,我們去吃越南菜。,,
ภูเขาที่สูงมาก ๆ มีหิมะตกได้,很高的山會下雪。,,
มาหาฉันมีธุระอะไร,找我有什麼事？,,
ยังมีที่ไหนที่เที่ยวสนุกอีกไหม,還有什麼好玩的地方？,,
ยังมีห้องว่างสองห้อง ห้องนึงเป็นห้องสวีท อีกห้องนึงไม่ใช่,還有兩間空房間，一間是套房，一間不是。,,
ยังไม่รู้เลย　เธอมีอะไรแนะนำไหม,還不知道。你有什麼建議？,,
รถไฟมันช้าเกินไป ใช้เวลาตั้งสี่ชั่วโมง นั่งรถไฟความเร็วสูงไปไวกว่า,火車太慢了，要四個多鐘頭，坐高鐵比較快。,,
รอบหน้าฉันก็อยากไปพักที่โรงแรมนั้น,下次我也想去住那家旅館。,,
ราว ๆ ห้าโมง,五點左右。,,
รูปถ่ายรูปนี้ดูดี,這張照片很好看。,,
รูปไหนสวย,哪一張照片漂亮？,,
ร้านอาหารอยู่ที่ชั้นหนึ่งอาคารหอพักนักศึกษา,餐廳在學生宿舍的一樓。,,
ฤดูใบไม้ผลิก็ไม่เลว อากาศสบายดีมาก,春天也不錯，天氣很舒服。,,
ลำคออักเสบนิดหน่อย,喉嚨有一點發炎。,,
วันนี้ฉันก็สั่งเค้กวันเกิดมาชิ้นนึงแล้ว,今天我也訂了一個生日蛋糕。,,
วันนี้ตอนเย็นพวกเราไปดูหนังดีไหม,今天晚上我們去看電影，好不好？,,~不~
วันนี้ลืมเอามา,今天忘了帶。,,
วันมะรืนฉันว่าง,後天我有空。,,
วานเธอช่วยบอกกับครูหน่อยว่า ฉันป่วย เข้าเรียนไม่ได้,請你跟老師說，我生病了，不能上課。,,
วิวที่นั่นต้องสวย(!ㄆ)แน่ ๆ,那裡的風景一定很美。,,
ว่าง ๆ ฉันขอไปดูหน่อยได้ไหม,我有空可以去看看嗎？,,
สัปดาห์หน้าพวกเรามีวันหยุดห้าวัน,下個星期我們放五天的假。,,
สามารถติดตั้งเคเบิลทีวีให้ฉันได้ไหม,可以幫我裝有線電視嗎？,,
สุขสันต์วันเกิดแด่เธอ ขอให้คิดสิ่งใดก็สมปราถนา คิดหวังอะไรให้ได้อย่างนั้น,祝你生日快樂，萬事如意，心想事成。,,
หนึ่งเครื่องราคาหนึ่งหมื่นห้าพัน,一支要一萬五千多。,,
หลังจากเธอกลับประเทศไปแล้ว วางแผนจะทำอะไรหรอ,你回國以後，打算做什麼？,,
หลังฉันกลับประเทศไปแล้ว ก็อยากจะหางานที่มีโอกาสได้พูดภาษาจีน,我回國以後，也想找個有機會說中文的工作。,,
หลายคน<u><i><b>ล้วน</b></i></u>บอกว่าไต้หวันมีของทานเล่นที่ดัง ๆ จำนวนไม่น้อย,很多人都說臺灣有不少有名的小吃。,,
หวังว่าครั้งนี้จะไม่น่ากลัวแบบครั้งที่แล้ว(นั้น),希望這次沒有上次那麼可怕。,,
หวังว่าฉันในอนาคตก็สามารถได้มาทำงาน(!ㄍ)ในบริษัทที่ดีอย่างนี้ได้,希望我以後也可以到這麼好的公司上班。,,
หอม หวาน อร่อยมาก,香香的，甜甜的，很好吃。,,
อาคารใหญ่หลังที่อยู่ด้านข้าง ๆ หลังนั้นเป็นห้องเรียน,旁邊的那棟大樓是教室。,,
อาหารของร้านอาหารเมื่อคืนร้านนั้นอร่อยมาก แต่เผ็ดไปนิดนึง,昨天晚上那家餐廳的菜很好吃，可是有一點辣。,,
อเมริกาล่ะ　หิมะเริ่มตกแล้วใช่ปะ,美國呢？開始下雪了吧？,,
เจ้าของบริษัทหวังให้พวกเราทั้งหมดจะพูดภาษาจีนได้,公司老闆希望我們都會說中文。,,
เดินทางดี ๆ นะ,小心慢走。,,
เดี๋ยวฉันรอเธอที่ทางเข้าโรงเรียน,我會在學校門口等你。,,
เธอกับแฟน(ญ)เธอไปเที่ยวกับที่ฮวาเหลียนเมื่อเดือนที่แล้ว สนุกไหม,你跟你女朋友上個月去花蓮玩，好玩嗎？,,
เธอกำลังกินข้าวอยู่หรอ,你在吃飯嗎？,,
เธอก็เหมือนกัน,你也一樣。,,
เธอคิดว่าห้องนี้เป็นอย่างไรบ้าง,你覺得這間房間怎麼樣？,,
เธอจะนั่งแท็กซี่ไปไหม,你要不要坐計程車去？,,~不~
เธอจะเอาแก้วใหญ่ แก้วกลาง หรือว่าแก้วเล็ก,你要大杯，中杯還是小杯？,,
เธอชอบกินอะไรมากที่สุด,你最喜歡吃什麼？,,
เธอดูสิ พวกนี้เป็นรูปที่ฉันถ่าย,你看，這些是我拍的照片。,,
เธอดูแลตัวเองดี ๆ นะ,你自己要多小心。,,
เธอต้องจ่ายเงินเอง,你得自己付錢。,,
เธอทำกับข้าวเป็นไหม / เป็น　ของหวานของฉันก็ทำได้ไม่แย่,你會做飯嗎？/會。我的甜點也做得不錯。,,
เธอทำอาหารได้เป็นอย่างไรบ้าง,你做飯做得怎麼樣？,,
เธอมาทำงานที่ไต้หวันตอนไหนนะ,你是什麼時候來臺灣工作的？,,
เธอมารับพวกเราหรอ,你來接我們嗎？,,嗎
เธอมีธุระอะไรตอนเย็นไหม,你晚上有事嗎？,,
เธอมีพี่น้องไหม,你有沒有兄弟姊妹？,,~沒~
เธอวางแผน(!ㄉ)จะเรียนภาษาจีนที่ไต้หวันนานแค่ไหน,你計畫在臺灣學多久的中文？,,
เธออยาก(ㄒ)ดูหนังอเมริกาหรือว่าหนังไต้หวัน,你想看美國電影還是臺灣電影？,,
เธออยากจะพาเขา(ญ)ไปเที่ยวที่ไหน,你想帶她去哪裡玩？,,
เธออยากซื้อโทรศัพท์มือถือแบบไหน,你想買哪種手機？,,
เธออยากดื่มกาแฟไหม,你要不要喝咖啡？,,~不~
เธอเป็นอะไรไปหรอ สีหน้าดูไม่ดีขนาดนี้,你怎麼了？臉色這麼難看。,,
เธอได้นอนไปสองสามชั่วโมงแล้ว ตอนนี้อาการเธอก็ดูดีขึ้นกว่าเมื่อเช้ามาก,你睡了幾個小時的覺以後，現在臉色比早上好得多了。,,
เปียกไปทุกที่เลย　น่ารำคาญจริง ๆ,哪裡都濕濕的。真討厭。,,
เพราะว่าตอนนี้มีคนไปเที่ยวน้อยกว่า ดังนั้นโรงแรมจึงไม่แพงมากเกินไป,因為現在去玩的人比較少，所以旅館不太貴。,,
เพิ่งเริ่มเรียน ยังเขียนอักษรได้ไม่เก่ง แต่ฉันคิดว่ามันสนุกมาก,剛開始學，字寫得不好，可是我覺得很有意思。,,
เพื่อน(ร่วมชั้น)ฉันขี่รถเครื่องแล้วเอาฉันซ้อน,我同學騎機車載我。,,
เมื่อวานตอนเย็นรู้สึกไม่สบายท้อง ของที่กินไปก็อ้วกออก อ้วกไปแล้วหลายครั้ง,昨天晚上肚子很不舒服，吃了東西就吐，還吐了好幾次。,,
เมื่อวาน明華เอาผลไม้ชนิดนั้นให้พวกเรา มีสีแดง เรียกว่าอะไรหรอ,昨天明華給我們那種水果，紅色的，叫什麼？,,
เรามาพยายามด้วยกันเถอะ,我們一起加油吧！,,!
เรามีวันหยุดแค่สิบวัน,我們只放十天的假。,,
เราไปพรุ่งนี้กัน　ต้องสั่งถ้วยใหญ่นะ,我們明天去。一定要點大碗的。,,
เอาให้เธอลูกนึง ลองชิมดูสิ,給你一塊，吃吃看。,,
แน่นอนว่าจำได้! ตอนแลกเปลี่ยนภาษา เธอสอนภาษาสเปนฉันอย่างกระตือรือร้นขนาดนั้น,當然記得！語言交換的時候，你那麼熱心教我西班牙文。,,
แฟน(ญ)ฉัน<u><i><b>จะ</b></i></u>มาหาฉันที่ไต้หวันวันที่สามสิบกันยายน,我女朋友九月三十號要來臺灣看我。,,
โทรศัพท์เครื่องนี้ของฉันมันเก่าเกินไป ดูไม่ดี,我這支手機太舊了，不好看。,,
โรงเรียนพวกเขาด้านหน้ามีทะเล ด้านหลังมีภูเขา,他們學校前面有海，後面有山。,,
โรงเรียนพวกเขาอยู่ที่ไหน　ไกลไหม,他們學校在哪裡？遠不遠？,,~不~
โรงเรียนอยู่ไกลหน่อย อยู่บนภูเขาที่ฮวาเหลียน,學校有一點遠，在花蓮的山上。,,
โรงแรมแห่งนั้นสะอาดมาก　มองจากหน้าต่างออกไปข้างนอก เป็นมหาสมุทรสีน้ำเงิน,那家旅館很乾淨。從窗戶往外看，是藍色的大海。,,
ในห้องต่ออินเทอร์เน็ตได้ไหม,房間裡面可以上網嗎？,,
ได้ยินมาว่าตั๋วรถไฟความเร็วสูงมันแพงมาก ๆ,聽說高鐵車票非常貴。,,
ได้ยินมาว่าที่นั่นมีของยุคโบราณจากประเทศจีนอยู่เยอะแยะเลย,聽說那裡有很多中國古代的東西。,,
ได้ยินมาว่าโรงเรียนของ怡君นั้นสวยมาก,聽說怡君的學校很漂亮。,,
ไต้ฝุ่นใกล้จะมาแล้ว,颱風快要來了。,,
ไทเปมีโรงน้ำชาอยู่เยอะ,臺北有很多茶館。,,
ไป<u><i><b>บ่าย</b></i></u>วันเสาร์(ㄒ)นี้,這個星期六下午去。,,
ไปเที่ยวนานเท่าไหร่,去玩多久？,,
ไม่จำเป็นหรอก,不用了。,,
ไม่มีปัญหา　ว่าแต่ ว่างกินข้าวด้วยกันเมื่อไหร่,沒問題。對了，什麼時候有空一起吃飯？,,
ไม่รู้ว่าหาง่ายไหม ฉันจะลองดู,不知道好不好找，我試試看。,,
ไม่เป็นไร (หลังจากขอบคุณ),不客氣。,,
ไม่เป็นไร (หลังจากขอโทษ),沒關係。,,
