中文,ㄅㄆㄇㄈ
甜,ㄊㄧㄢˊ
生,ㄕㄥ
用,ㄩㄥˋ
畢,ㄅㄧˋ
畫,ㄏㄨㄚˋ
當,ㄉㄤ
白,ㄅㄞˊ
百,ㄅㄞˇ
相,ㄒㄧㄤˋ
看,ㄎㄢˋ
真,ㄓㄣ
知,ㄓ
矮,ㄞˇ
碗,ㄨㄢˇ
祝,ㄓㄨˋ
票,ㄆㄧㄠˋ
禮,ㄌㄧˇ
秋,ㄑㄧㄡ
租,ㄗㄨ
程,ㄔㄥˊ
種,ㄓㄨㄥˇ
空,ㄎㄨㄥ<br>ㄎㄨㄥˋ
穿,ㄔㄨㄢ
窗,ㄔㄨㄤ
站,ㄓㄢˋ
笑,ㄒㄧㄠˋ
等,ㄉㄥˇ
算,ㄙㄨㄢˋ
糕,ㄍㄠ
約,ㄩㄝ
紅,ㄏㄨㄥˊ
紐,ㄋㄧㄡˇ
累,ㄌㄟˋ
結,ㄐㄧㄝˊ
給,ㄍㄟˇ
統,ㄊㄨㄥˇ
經,ㄐㄧㄥ
網,ㄨㄤˇ
線,ㄒㄧㄢˋ
績,ㄐㄧ
美,ㄇㄟˇ
習,ㄒㄧˊ
老,ㄌㄠˇ
聞,ㄨㄣˊ
聽,ㄊㄧㄥ
肉,ㄖㄡˋ
能,ㄋㄥˊ
腐,ㄈㄨˇ
腳,ㄐㄧㄠˇ
自,ㄗˋ
臭,ㄔㄡˋ
舊,ㄐㄧㄡˋ
舍,ㄕㄜˋ
舒,ㄕㄨ
色,ㄙㄜˋ
芒,ㄇㄤˊ
花,ㄏㄨㄚ
茶,ㄔㄚˊ
菜,ㄘㄞˋ
華,ㄏㄨㄚˊ
萬,ㄨㄢˋ
葉,ㄧㄝˋ
蓮,ㄌㄧㄢˊ
藍,ㄌㄢˊ
號,ㄏㄠˋ
蛋,ㄉㄢˋ
行（!ㄒ）,ㄏㄤˊ
裝,ㄓㄨㄤ
裡,ㄌㄧˇ
西,ㄒㄧ
要,ㄧㄠˋ
見,ㄐㄧㄢˋ
視,ㄕˋ
覺,ㄐㄩㄝˊ
觀,ㄍㄨㄢ
言,ㄧㄢˊ
訂,ㄉㄧㄥˋ
計,ㄐㄧˋ
討,ㄊㄠˇ
記,ㄐㄧˋ
試,ㄕˋ
該,ㄍㄞ
語,ㄩˇ
誠,ㄔㄥˊ
說,ㄕㄨㄛ
誰,ㄕㄟˊ
課,ㄎㄜˋ
請,ㄑㄧㄥˇ
議,ㄧˋ
豆,ㄉㄡˋ
豬,ㄓㄨ
貓,ㄇㄠ
貴,ㄍㄨㄟˋ
買,ㄇㄞˇ
費,ㄈㄟˋ
賣,ㄇㄞˋ
賽,ㄙㄞˋ
走,ㄗㄡˇ
起,ㄑㄧˇ
超,ㄔㄠ
越,ㄩㄝˋ
足,ㄗㄨˊ
跟,ㄍㄣ
路,ㄌㄨˋ
踢,ㄊㄧ
車,ㄔㄜ
較,ㄐㄧㄠˋ
載,ㄗㄞˋ
輕,ㄑㄧㄥ
辣,ㄌㄚˋ
迎,ㄧㄥˊ
近,ㄐㄧㄣˋ
這,ㄓㄜˋ
逛,ㄍㄨㄤˋ
週,ㄓㄡ
進,ㄐㄧㄣˋ
運,ㄩㄣˋ
過,ㄍㄨㄛˋ
道,ㄉㄠˋ
遠,ㄩㄢˇ
還,ㄏㄞˊ
邊,ㄅㄧㄢ
金,ㄐㄧㄣ
銀,ㄧㄣˊ
錢,ㄑㄧㄢˊ
錯,ㄘㄨㄛˋ
鐘,ㄓㄨㄥ
鐵,ㄊㄧㄝˇ
門,ㄇㄣˊ
開,ㄎㄞ
闆,ㄅㄢˇ
關,ㄍㄨㄢ
阿,ㄚ
附,ㄈㄨˋ
院,ㄩㄢˋ
陳,ㄔㄣˊ
難,ㄋㄢˊ
雨,ㄩˇ
雪,ㄒㄩㄝˇ
需,ㄒㄩ
面,ㄇㄧㄢˋ
音,ㄧㄣ
頭,ㄊㄡˊ
題,ㄊㄧˊ
風,ㄈㄥ
颱,ㄊㄞˊ
飯,ㄈㄢˋ
飽,ㄅㄠˇ
餐,ㄘㄢ
館,ㄍㄨㄢˇ
香,ㄒㄧㄤ
馬,ㄇㄚˇ
騎,ㄑㄧˊ
驗,ㄧㄢˋ
驛,ㄧˋ
麵,ㄇㄧㄢˋ
麻,ㄇㄚˊ
黃,ㄏㄨㄤˊ
點,ㄉㄧㄢˇ
龍,ㄌㄨㄥˊ
