Thailändisch,Deutsch,หมายเหตุ
มีก้อนหินอยู่ก้อนหนึ่งในรองเท้า(ข้างหนึ่ง)ของฉัน,Da ist ein Stein in meinem Schuh.,- Da
ที่นั่นสามารถว่ายน้ำไป ๆ มา ๆ ได้,Da kann man hin und her schwimmen.,
ขอบคุณสำหรับคำเชิญของเธอวันเสาร์อาทิตย์นี้ที่แฮมบวร์ก,Danke für deine Einladung zum Wochenende nach Hamburg.,
ขอฉันแนะนำน้องสาวของฉัน Julia ให้เธอรู้จัก,Darf ich dir meine Schwester Julia vorstellen?,- คำถาม
ตรงนั้นสามารถถ่ายรูปได้ไหม,Darf man da fotografieren?,- อนุญาต
จักรวาลไม่ได้เป็นสีดำ,Das All ist nicht schwarz.,
รถยนต์ลอดอุโมงค์ไป(f),Das Auto fährt durch den Tunnel.,
รถยนต์ขับมุ่งหน้าไปทางต้นไม้,Das Auto fährt gegen den Baum.,
รถยนต์ขับรอบ ๆ ต้นไม้,Das Auto fährt um den Baum.,
เด็กทารกนอนหลับ แต่ยังดูเหมือนมีชีวิตชีวา(กระตือรือร้น)อยู่,"Das Baby schläft, doch scheint es aktiv.",
เบียร์จากเยอรมันนั้นดี,Das Bier aus Deutschland ist gut.,
รูป(B)อยู่ที่ข้างฝาผนัง,Das Bild ist an der Wand.,
เลือดวิ่งไปยังหัวใจ,Das Blut läuft zum Herz.,
อาหารไม่ได้เรื่อง,Das Essen ist schlecht.,
อาหารอร่อยมาก　อาหารทะเลก็สดมาก,Das Essen schmeckt sehr gut. Die Meeresfrüchte sind so frisch.,
เครื่องบินออกบินตอน 12:00 น.,Das Flugzeug fliegt um zwölf Uhr ab.,- Präsent
เครื่องบินออกบินเริ่มที่แฟรงก์ฟวร์ตเวลา 8 โมง,Das Flugzeug ist um acht Uhr in Frankfurt gestartet.,- Perfekt
ของขวัญ(นี้)เพื่อเธอ,Das Geschenk ist für dich.,
โทรศัพท์(มือถือ)ดัง(รอสาย)สามครั้งและ Julia ก็รับสาย,Das Handy klingelt drei Mal und Julia antwortet.,
โรงแรมสะอาดและใหญ่ ห้องของพวกเราแพงแต่มันมีระเบียงพร้อมกับวิวทะเล,"Das Hotel ist sauber und groß. Unser Zimmer ist teuer, aber es hat einen Balkon mit Meerblick.",
ไก่ยังไม่สุกดี,Das Hähnchen ist noch nicht gar.,
ภายในของปราสาทนั้นใหญ่มาก,Das Innere des Schlosses ist sehr groß.,
ฉันชอบ(g)ชุดเดรสตัวนี้นะ　แต่<u><b>ฉันคิด</b></u>ว่ามันแพงเกินไป,Das Kleid gefällt mir ganz gut. Aber ich finde es zu teuer.,
ชุดเดรสตัวเล็ก,Das Kleid ist klein.,
ฉันไม่ชอบชุดเดรสนี้　มันแพงเกินไปสำหรับฉัน,Das Kleid mag ich nicht. Es ist mir zu teuer.,
คอนเสิร์ตเริ่มเวลา 7:30 น.,Das Konzert fängt um halb acht an.,umgangsprachlich
ชีวิตที่ชานเมืองนั้นเรียบง่ายกว่า,Das Leben auf dem Land ist einfacher.,
ผู้คนต่างตื่นเต้น,Das Publikum ist begeistert.,
ห้องนอนอยู่ข้างห้องครัว,Das Schlafzimmer ist neben der Küche.,
"ค่าแท็กซีจากสนามบินไปยังใจกลางเมืองราคา 32,5 ยูโร",Das Taxi vom Flughafen bis zum Zentrum kostet zweiunddreißig Euro fünfzig.,
สัตว์นอนหลับวันละครั้ง,Das Tier schläft einmal am Tag.,
พจนานุกรมมีประโยชน์,Das Wörterbuch ist praktisch.,
นั่นไม่ได้ผลในระยะยาว,Das geht auf Dauer nicht.,
สิ่งนั้น(ก)ฉันไม่ได้กินมาเป็นเดือน<b><u><i>แล้ว</i></u></b>,Das habe ich schon seit Monaten nicht gegessen.,- Perfekt
นั่นเป็นบ้านที่หลังคามีสีแดง,"Das ist das Haus, dessen Dach rot ist.",
นั่นคือผู้ชายที่น้องชายของเขามีลูกสองคน,"Das ist der Mann, dessen Bruder zwei Kinder hat.",
นั่นเป็นคำปรารถนาของคุณยายของเธอ,Das ist der Wunsch deiner Großmutter.,
นี่คือคุณผู้หญิงของบ้าน,Das ist die Dame des Hauses.,
นั่นเป็นผู้หญิงที่สามีเขาเป็นหมอ,"Das ist die Frau, deren Mann Arzt ist.",
นี่คือชั่วโมงสุดท้ายของวัน,Das ist die letzte Stunde des Tages.,
นี่คือปราสาท　ปราสาทชื่อว่า Neuschwanstein　มันสวยมากและมีชื่อเสียงมาก,Das ist ein Schloss. Das Schloss heißt Neuschwanstein. Es ist sehr schön und sehr bekannt.,
นั่นเป็นก้อนหินสีเหลือง,Das ist ein gelber Stein.,
นั่นเป็นเพื่อนอีกคนหนึ่งของ(v)ฉัน,Das ist ein weiterer Freund von mir.,
นี่เป็นช่วงเวลาที่บังเอิญ,Das ist ein zufälliger Moment.,
(เห็นได้ชัด)นั่นไม่ใช่ส้มแน่ ๆ อยู่แล้ว,Das ist eindeutig keine Orange.,
นี่คือห้องน้ำสาธารณะ(แห่งหนึ่ง),Das ist eine öffentliche Toilette.,
มันคุ้มค่า,Das ist es wert.,
นั่นแพง(t)สุดขีด,Das ist extrem teuer.,
นี่ไม่ใช่หมา นี่คือแมว,"Das ist kein Hund, das ist eine Katze.",
นี่เป็นสถานีสุดท้ายของฉัน,Das ist meine letzte Station.,
นี่ไม่ใช่บ้าน(!H)ของฉันคนเดียว แต่เป็นบ้านของพวกเรานะ,"Das ist nicht meine Wohnung, sondern unsere Wohnung.",
นี่เป็นส่วนสำคัญ(๓)สำหรับความสำเร็จของพวกเรา,Das ist wesentlich für unseren Erfolg.,
"นี่ทั้งหมดราคารวมเป็น 11,50 ยูโร",Das kostet zusammen elf Euro fünfzig.,
นั่นดูน่าสนใจสำหรับฉัน,Das scheint mir interessant.,
นั่นเป็นเด็ก ๆ ที่พ่อแม่เขาเป็นครู,"Das sind die Kinder, deren Eltern Lehrer sind.",
นั่นเป็น(อดีต)ความโชคร้ายสำหรับคุณ,Das war Pech für dich.,Präteritum
สิ่งนั้นไม่เปลี่ยนอะไรระหว่างเรา,Das ändert nichts zwischen uns.,
เพื่อสิ่งนั้นแล้วพวกเขามีเวลาสามวัน,Dazu haben sie drei Tage.,
ฉันคิดว่ากระโปรงตัวนี้สวยกว่า,Den Rock finde ich schöner.,- นำประโยคด้วยกระโปรง
ตัวนั้น(Artikel ช)ฉันก็ว่าสวย แต่ว่ามันยาวเกินไปสำหรับฉัน,"Den finde ich ganz schön, aber er ist mir zu lang.",
ไม่ว่าอย่างไรก็ตามเธอก็เป็นมนุษย์คนหนึ่ง,Dennoch bist du ein Mensch.,
ภูเขาลูกเล็ก,Der Berg ist klein.,
ย่าน(นี้)ตั้ง(l)อยู่ทางทิศตะวันตกของเมือง,Der Bezirk liegt im Westen der Stadt.,
พี่ชายส่งเงินมาให้คุณแม่ทุกเดือน,Der Bruder schenkt der Mutter Geld jeden Monat.,
รถบัสอยู่ตรงข้ามบ้าน,Der Bus ist gegenüber dem Haus.,
หมีไม่ใช่ของแท้,Der Bär ist nicht echt.,
คนขับรถปิด(s)ประตูหลังแล้วกลับเข้าไปที่พวงมาลัย,Der Fahrer schließt die Hintertür und geht zurück ans Lenkrad.,
คนขับรถดับเครื่องและเราก็ลงจากรถ,Der Fahrer stellt den Motor aus und wir steigen aus.,
โทรทัศน์<b><u><i>เปิด</i></u></b>อยู่,Der Fernseher ist an.,
ปลา(เอก)กินพืช(พหู+a),Der Fisch isst die Pflanzen.,
สนามบินตั้งอยู่ทางทิศใต้ของแฟรงก์เฟิร์ต,Der Flughafen liegt südlich von Frankfurt.,
คุณตาพูดถึงเวลา(พหู)ในอดีต,Der Großvater spricht von den vergangenen Zeiten.,
ท้องฟ้าเต็มไปด้วยดวงดาว,Der Himmel ist voll mit Sternen.,
หมากิน(f)เนื้อ,Der Hund frisst Fleisch.,
เด็กผู้ชายนอนหลับตลอดเที่ยวบิน,Der Junge schläft während des Fluges.,
กระเป๋าเดินทางเป็นของเพื่อน(ญ)ของฉัน Ute พรุ่งนี้พวกเราจะไปปราก คืนนี้ Ute จะพักที่นี่,Der Koffer gehört meiner Freundin Ute. Wir fahren morgen nach Prag. Ute übernachtet heute hier.,
เพื่อนร่วมงานได้ตกบันได　พวกเรา<b><i><u>จึง</u></i></b>ไป(f)โรงพยาบาลทันทีด้วยรถแท็กซี่อีกครั้ง,Der Kollege ist auf der Treppe gefallen. Wir sind dann gleich mit dem Taxi weiter ins Krankenhaus gefahren.,- Perfekt
ส่วนหัวไม่สามารถมองเห็นได้จากด้านบน,Der Kopf ist von oben nicht sichtbar.,
ชีสนั้นดี แม้ว่ามันจะเก่า,"Der Käse ist gut, obwohl er alt ist.",
ครูแก้ไขข้อที่ผิดของผม,Der Lehrer korrigiert meine Fehler.,
ผู้ชายได้หลบอยู่ระหว่างกล่อง,Der Mann hat sich zwischen den Kisten versteckt.,- perfekt
คนกินปลา(+a),Der Mensch isst den Fisch.,
คนไข้พูดกับแพทย์ส่วนตัว(-a/พหู),Der Patient spricht mit privaten Ärzten.,
ยางรถเสีย (อดีต),Der Reifen war kaputt.,<i><b><u>- Prätaritum</u></b></i>
กระโปรงตัวซ้ายราคาถูกกว่า,Der Rock da links ist billiger.,
กระโปรงราคาถูกที่สุด,Der Rock ist am billigsten.,
กระโปรงราคาถูกกว่าเสื้อเชิตผู้หญิง,Der Rock ist billiger als die Bluse.,
สลัดไม่ค่อยอร่อยเท่าไหร่　มันไม่สด,Der Salat schmeckt nicht so gut. Er ist nicht frisch.,
ตู้มีห้าชั้น,Der Schrank hat fünf Regale.,
ลูกชายของผู้ชายคนนั้นชื่อ Michael,Der Sohn des Mannes heißt Michael.,- ใช้ Genitiv
นักศึกษาวางหนังสือไว้บนชั้น,Der Student stellt das Buch ins Regal.,
เก้าอี้ทำมาจากโลหะ,Der Stuhl ist aus Metall.,
การประชุมมีทุกปี(jJ)ในเดือนกรกฎาคม,Der Termin ist jedes Jahr im Juli.,
โต๊ะอยู่ตรงกลางของห้อง,Der Tisch ist in der Mitte des Zimmers.,
การย้ายบ้านเป็นไปอย่างรวดเร็ว,Der Umzug ist schnell.,
รถไฟแล่นตรงจากสนามบินไปยัง(!z)ลาน Alexander,Der Zug fährt direkt vom Flughafen an den Alexanderplatz.,
รถไฟใกล้จะออกแล้ว,Der Zug fährt gleich ab.,
ทั้งหัวเป็นสีฟ้า,Der gesamte Kopf ist blau.,
วันนี้วันที่เท่าไหร่,Der wievielte ist heute?,wieviel
เยอรมันเล่น(แมทช์)แข่งกับบราซิล,Deutschland spielt gegen Brasilien.,
รถ(พหู)จอดเลียบไปกับถนน,Die Autos stehen entlang der Straße.,
แบต(B)หมด,Die Batterie ist alle.,
ผึ้งชอบดอกไม้(พหู+Artikel)ที่บาน,Die Biene mag die offenen Blumen.,
เสื้อเชิตผู้หญิงแพงพอ ๆ กันกับกางเกง,Die Bluse ist so teuer wie die Hose.,
เสื้อเชิตผู้หญิงแพงเกินไป,Die Bluse ist zu teuer.,
ร้านเบเกอรีอยู่ไม่ไกล มันอยู่ตรงหัวมุมนี้เอง,"Die Bäckerei ist nicht weit, sie liegt gleich um die Ecke.",
การเดินทางใช้เวลา 45 นาที,Die Fahrt dauert fünfundvierzig Minuten.,
"สีของกระโปรงตัว<u style=""font-weight: bold;"">นี้</u>(!Artikel)ไม่ใช้สีเหลือง",Die Farbe dieses Rocks ist nicht gelb.,
ฉันคิดว่าปลา(พหู)น่าเบื่อ,Die Fische finde ich langweilig.,
คำถามนั้นอย่างไรก็ตามไม่มีคำตอบ,Die Frage hat jedoch keine Antwort.,
ยินดีรับคำถามทั้งหลาย,Die Fragen sind willkommen.,
พวกผู้หญิงพลาดมื้ออาหาร,Die Frauen verpassen das Essen.,
คุณยายทำอาหารดี ๆ,Die Großmutter kocht ein gutes Essen.,
แม่ไก่(พหู)กิน(!f)ข้าวโพด(พหู),Die Hühner essen die Körner.,
เสื้อแจ็กเก็ตตัวใหญ่เกินไปสำหรับ(f)ฉัน,Die Jacke ist zu groß für mich.,
แมวอยากกินปลา(พหู)ตลอดเวลา,Die Katze möchte immer die Fische fressen.,
เนคไท(นี้)สำหรับน้องชายของฉัน,Die Krawatte ist für meinen Bruder.,
วัวกินหญ้า,Die Kuh isst das Gras.,
โคมไฟมีหลอดไฟสองดวง,Die Lampe hat zwei Glühbirnen.,
เจ้านาย(ญ)ทดสอบพวกเรา,Die Leiterin prüft uns.,
ดนตรีถูกใจฉันมาก,Die Musik gefällt mir gut.,
ภูมิภาคนี้มีภูเขาเยอะ,Die Region hat viele Berge.,
หมดฤดูกาล,Die Saison ist zu Ende.,
พี่สาวของเพื่อน(ญ)ของฉันแต่งงานแล้ว,Die Schwester von meiner Freundin ist schon verheiratet.,
สบู่มีสีขาว,Die Seife ist weiß.,
เก้าอี้นวม<sub>(พหู)</sub>นั่งสบาย<b><u><i>มาก</i></u></b>และมันมีราคาถูก<sub>(คุ้มค่า)</sub>,Die Sessel sind sehr bequem und sie sind günstig.,
แม่น้ำ Spree สะท้อนแสงอาทิตย์(เป็นประกายระยิบระยับ),Die Spree funkelt in der Sonne.,
เก้าอี้ดูทันสมัยและสวย,Die Stühle sind modern und schön.,พหูพจน์
ค่าเช่ารวมทั้งหมด 450 ยูโรต่อเดือน,Die Warmmiete ist vierhundertfünfzig Euro pro Monat.,
บ้านอยู่ในอาคารสูง<sub>(แห่งหนึ่ง)</sub>ที่มีนักศึกษาหลายคนอาศัยอยู่,"Die Wohnung ist in einem Hochhaus, wo viele Studenten wohnen.",
งานก่อสร้าง(พหู)ของยุโรปนั้นสมบูรณ์แบบ,Die europäischen Bauten sind perfekt.,
ดอกไม้ที่ใหญ่ที่สุดมีสีเหลือง,Die größte Blume ist gelb.,
หนังสือพิมพ์นานาชาติ(พหู)นั้นฟรี,Die internationalen Zeitungen sind kostenlos.,
ขวดสุดท้ายสำหรับพวกเธอ,Die letzte Flasche ist für euch.,
ดอกไม้สีแดงไม่ได้อยู่ที่นั่น,Die rote Blume ist nicht da.,
แมวสีดำนั้นเงียบสงบ,Die schwarze Katze ist ruhig.,
นี่(!das)คือธรรมชาติ,Dies ist Natur.,
รถบัส(สาย)นี้ปกติแล้วคนจะแน่นมากเลยนะ,Dieser Bus ist normalerweise sehr voll.,
เมือง(!S)นี้ทำให้ฉันนึกถึงสถานที่เกิด,Dieses Dorf erinnert mich an meinen Geburtsort.,
หมาสามตัวตามแมวสี่ตัวจนถึงที่ประตู,Drei Hunde folgen vier Katzen bis zum Tor.,
ตาเธอแล้ว,Du bist dran.,
เธอเหมือนหนูตัวหนึ่งเลย,Du bist einer Maus ähnlich.,
เธอ(๒)ไม่ต้องการ(b)ไป,Du brauchst nicht zu gehen.,
เธอห้ามยอมแพ้เด็ดขาด,Du darfst nie aufgeben.,
คุณ(d)สามารถมองเห็นม้า(พหู)ได้จากในรูป(B),Du kannst Pferde auf dem Bild sehen.,
เธอควรภูมิใจในตัวเอง,Du sollst stolz auf dich sein.,
ไม่สำคัญว่าเขาอายุเท่าไหร่,"Egal, wie alt er ist.",
เพื่อนคนหนึ่งได้ลองเปลี่ยนยางรถยนต์ดู,Ein Freund hat probiert den Reifen zu wechseln.,- Perfekt
ก้อนหิน(ก้อนหนึ่ง)ไม่ลอยน้ำ,Ein Stein schwimmt nicht.,
สัตว์สองสามตัวเล่นกันอยู่บนสนามหญ้า,Ein paar Tiere spielen auf der Wiese.,
อีกแค่หนึ่งเดือนแล้วฉันจะเป็นอิสระเหมือนดั่งสายลม,Ein weiterer Monat und ich bin frei wie der Wind.,
(ขอ)น้ำแร่ไม่อัดก๊าซ 1 ขวด,"Eine Flasche Mineralwasser ohne Kohlensäure, bitte.",
แมวตัวหนึ่งเคยอยู่บนโต๊ะ,Eine Katze ist auf dem Tisch gewesen.,Perfekt
ขอให้เป็นวันที่ดี,Einen schönen Tag noch.,
เช้าวันหนึ่งมีพายุ(G),Eines Morgens gibt es ein Gewitter.,
หนึ่งมีค่าน้อยกว่าสอง,Eins ist weniger als zwei.,
ขอโทษนะคะ รถไฟขบวนถัดไปที่จะไป Dessau ออกเมื่อไหร่,"Entschuldigung, wann fährt der nächste Zug nach Dessau ab?",
ถ้าเราไม่จมเราก็ว่ายน้ำ,Entweder gehen wir unter oder schwimmen.,
ไม่เธอไปก็ฉันไป,Entweder gehst du oder ich gehe.,
เขาทำงานในบริษัท(!F)แห่งหนึ่งเป็นโปรแกรมเมอร์,Er arbeitet in einem Büro als Programmierer.,
เขาทำงานในมหาวิทยาลัยตั้งแต่ปี 1984,Er arbeitet seit neunzehn-vierundachtzig an der Universität.,
เขาอยู่อย่างช้าสุดถึงแปดโมง,Er bleibt spätestens bis acht.,
เขาแทนที่เธอ(๒),Er ersetzt dich.,
เขาขึ้นไปบนหลังคา,Er geht aufs Dach.,
เขา(ช)ไป(g)งานแต่งงานวันนี้,Er geht heute auf die Hochzeit.,
เขาเอามัน(ช)ให้เธอ(๓),Er gibt ihn ihr.,
เขาใช้เงินมากเกินไป,Er gibt zu viel Geld aus.,er
เขาจ่ายหมดเลย,Er hat alles bezahlt.,- Perfekt
วันนี้เขาไม่ได้มีโทรศัพท์มือถือ<b><i><u>ของเขา</u></i></b>อยู่กับตัว　มันวางอยู่บนโต๊ะตรงนี้,Er hat heute sein Handy nicht dabei. Es liegt hier auf dem Tisch.,
เขาลงมืออบมัน(ช)ด้วยตัวเอง,Er hat ihn selber gebacken.,- perfekt
เขาโชคร้ายตลอดเวลา,Er hat immer Pech.,
เขาเรียน(!s)ภาษาอังกฤษและสเปนมาจากในโรงเรียน,Er hat in der Schule Englisch und Spanisch gelernt.,- Perfekt
เขาไม่มีเวลา,Er hat keine Zeit.,er
เขาไม่ได้เลี้ยงสุนัข แต่เลี้ยงแมวต่างหาก,"Er hat keinen Hund, sondern eine Katze.",
เขาไม่มีเพื่อนเลยแม้แต่คนเดียว,Er hat keinerlei Freunde.,
เขา(ช)มีความสัมพันธ์(ความเชื่อมโยง)บางอย่างกับเพื่อน ๆ ของเธอ(๓)(พหู),Er hat manche Verbindungen zu ihren Freunden.,
เขาเคยเล่าเรื่องเขา(คนนั้น)กับฉัน แต่แทบจะไม่บ่อยเลย,"Er hat mir von ihm erzählt, aber ganz selten.",- Perfekt
เขา(ช)คุยโทรศัพท์กับเธอ(ญ),Er hat mit ihr telefoniert.,- perfekt<br>- โทรศัพท์: t
เขา(ช)ได้ถอดรองเท้าของเขาออก,Er hat seine Schuhe ausgezogen.,perfekt
เขาทำกระเป๋าของเขาหาย,Er hat seine Tasche verloren.,Perfekt
เขามักจะฟังเพลงเป็นเวลาหลาย ๆ ชั่วโมง,Er hört oft stundenlang Musik.,
เขากินมากกว่า Pameda,Er isst mehr als Pameda.,
เขากินเยอะไม่เท่า Pameda,Er isst nicht so viel wie Pameda.,
เขาไม่กินอะไรนอกจากผลไม้,Er isst nichts außer Obst.,
เขากินน้อยกว่า Pameda,Er isst weniger als Pameda.,
เขาอยู่ตรงประตู,Er ist an der Tür.,
เขาไม่ได้โง่เลยอย่างที่เขาดูเหมือน,"Er ist gar nicht so dumm, wie er aussieht.",
เขากลับมาจากพักร้อน<b>เมื่อวาน<u><i>ตอนเย็น</i></u></b>,Er ist gestern Abend aus dem Urlaub zurückgekommen.,- Perfekt
เขาร้อน ๆ หนาว ๆ,Er ist heiß und kalt.,
มัน(ช)อยู่ในห้องของฉัน　เมื่อวานฉันเอา<u><i><b>มัน</b></i></u>ไปไว้ในห้องของฉันเอง,Er ist in meinem Zimmer. Gestern habe ich ihn in mein Zimmer gebracht.,- präsen / perfekt
เขา(อายุ)อ่อนกว่า Franka,Er ist jünger als Franka.,
เขาไม่ได้อยู่ในห้องครัว แต่อยู่ในห้องนั่งเล่น,"Er ist nicht in der Küche, sondern im Wohnzimmer.",er
เขาไม่แก่เท่า Franka,Er ist nicht so alt wie Franka.,
เขาเป็นมิตรต่อฉันอยู่เสมอ,Er ist stets freundlich zu mir.,
เขาอายุ 24 ปี,Er ist vierundzwanzig Jahre alt.,
เขามาแฟรงก์เฟิร์ตได้สองเดือนแล้วละยังไม่รู้จักใครที่นี่เลย,Er ist vor zwei Monaten nach Frankfurt gekommen und kennt hier noch keinen Menschen.,
เขาไม่ทั้งสูงหรือเตี้ย,Er ist weder groß noch klein.,
เขาพอใจกับการรักษา,Er ist zufrieden mit der Pflege.,
เขาอ่านหนังสือหนึ่งเล่มทุก ๆ ปี,Er liest ein Buch jährlich.,
เขาวิ่งช้ากว่า,Er läuft langsamer.,
เขาไม่ชอบกีฬา,Er mag keinen Sport.,er
เขาอยากได้นาฬิกา(จาก)อังกฤษเรือนหนึ่ง,Er möchte eine englische Uhr.,
เขาหลับทันทีที่เขาไปที่เตียง,Er schläft sobald er ins Bett geht.,
เขาหลับในขณะที่เพื่อนของเขาพูดอยู่,Er schläft während sein Freund spricht.,
มัน(ช)ถูกปากฉัน<b><u><i>มาก ๆ</i></u></b>,Er schmeckt mir sehr gut.,
เขานั่งอยู่ในห้องนั่งเล่น,Er sitzt im Wohnzimmer.,
เขาพูดไม่ช้า,Er spricht nicht langsam.,
เขาพูดเร็วพอ ๆ กันกับ Franka,Er spricht so schnell wie Franka.,
เขาพูดเร็วเกินไป,Er spricht zu schnell.,
เขาหาเพลงจากในโทรศัพท์,Er sucht das Lied auf dem Handy.,
เขาเข้าใจ　Ana มีหลายอย่างต้องทำ(t),Er versteht. Ana hat viel zu tun.,
เมื่อกี้เขาคุยโทรศัพท์แปปนึง　โทรคุยกับ Pameda,Er war kurz am Telefon. Er hat Pameda angerufen.,- präteritum. perfekt<br>- โทรคุย: ar
