tailandés,valencià,หมายเหตุ
เด็กผู้หญิงเหล่านี้อายุมากกว่ายี่สิบปี<b><u><i>แล้ว</i></u></b> แต่ว่า<u><i><b>ยัง</b></i></u>เด็ก(i)อยู่มาก,"Aquestes noies ja tenen més de vint anys, però encara són molt infantils.",
ถุงเท้าเหล่านี้เหมือน(!s)ของเธอเลย,Aquests mitjons són iguals que els teus.,
ตอนนี้เพื่อนบ้าน(ญ)ของฉันเรียนที่โรงเรียนการพาณิชย์,Ara la meua veïna estudia a l'escola de comerç.,
ตอนนี้ 16:30,Ara són les quatre i mitja de la vesprada.,
ระวังช่องว่างระหว่างรถไฟและชานชาลา,Atenció al buit entre el tren i l'andana!,
วันนี้ฉันไม่มีอารมณ์ต้อนรับใครทั้งนั้น,Avui no estic d'humor per rebre a ningú.,
วันนี้ฉันยังไม่ได้วิ่งเลยสักนิด,Avui no he corregut gens.,
วันนี้ฉันไม่ได้นอนเลย,Avui no he dormit gens.,
วันนี้วันที่ 5 มีนาคม,Avui és el cinc de març.,
เธอดื่มไวน์ แม้ว่าเธอจะไม่ดื่มเบียร์,"Beus vi, tot i que no beus cervesa.",
สวัสดีตอนบ่าย,Bona vesprada / Bona vesprà,
แต่ละชิ้นนั้นแตกต่างกัน,Cadascú és diferent.,
จำเป็นต้องศึกษาตลาดให้ดีก่อนเริ่มธุรกิจ,Cal estudiar bé el mercat abans de començar el negoci.,
จำเป็นที่จะต้องทำการควบคุมการใช้จ่าย(!d)ที่ดีกว่าถ้าเราไม่อยากเสียเงิน,Cal fer un millor control de costs si no volem perdre diners.,
ต้องเรียกรถพยาบาล,Cal tocar a una ambulància.,
ห้าบวกสองเท่ากับเจ็ด,Cinc i dos fan set.,
(สิ่งนี้)เรียกเป็นภาษาบาเลนเซียว่าอย่างไร,Com es diu en valencià?,
"คุณชื่ออะไร ",Com es diu?,vosté
จะไปถึงที่นั่นได้อย่างไร,Com es pot arribar allà?,
คุณชื่ออะไร,Com et dius?,tu
เธอรู้จักใครจากตาร์ราโกนาบ้างไหม,Coneixes algú de Tarragona?,
ฉันคิดว่าเราให้เขาเป็นกรณียกเว้นได้,Crec que podem fer una excepció amb ell.,
การเติบโตเป็นเรื่องสนุกมาก แม้ว่าต้องทำงานมาก,"Créixer és molt divertit, tot i que cal treballar molt.",
รักษาเนื้อรักษาตัว ดูแลตัวเองดี ๆ,Cuida't.,y
คุณมาจากที่ไหน,D'on eres?,tu
ด้านหน้าตลาดมีสวน,Davant del mercat hi ha un jardí.,
ช่วงเดือนพฤษภาคมถึงมิถุนายน กระแสน้ำของแม่น้ำนั้นเชี่ยวมากในภูเขา,"De maig a juny, el corrent del riu és molt fort a la muntanya.",
ตอนกลางคืนเขามักออก(ไปข้างนอก)กับเพื่อน,De nit sol eixir amb amics.,- มัก s
ตอนกลางคืน ที่บ้าน คนเดียว ฉันได้ยินเสียงแปลก ๆ (พหู),"De nit, a casa, tot sol, sent sorolls estranys.",
ในตอนกลางคืน รถพยาบาล(พหู)ได้ส่งเสียงดังในตัวเมือง,"De nit, les ambulàncies fan soroll a la ciutat.",
พรุ่งนี้มีประชุมตอนเช้า,Demà hi ha reunió al matí.,
พรุ่งนี้วันพฤหัสบดี,Demà és dijous.,
จากหน้าต่างของฉันฉันมองเห็นนกสีแดงตัวหนึ่ง,Des de la meua finestra veig un ocell vermell.,
หลังจากนอนได้ 14 ชั่วโมงเขาก็กลับมามีสติ,"Després de dormir catorze hores, va tornar a la consciència.",
ได้โปรดบอก(มันให้แก่)ฉัน,"Digue'm-ho, si us plau.",- !per favor
ได้โปรดบอก(มัน(ช)ให้แก่)ฉัน,"Digue-me'l, si us plau.",- !(per favor)
(พวกเธอ)ไปบอกเขาให้หน่อยว่าพรุ่งนี้ฉันไม่มาทำงาน(t),Digueu-li que demà no vinc a treballar.,
<b><u><i>พวกเธอ</i></u></b>ไปบอก<u><i><b>พวกเขา</b></i></u>หน่อยว่าพวกเราจะมาวันพรุ่งนี้ตอนเช้า,Digueu-los que venim demà al matí.,
"ภาย<span style=""color: var(--field-fg); background: var(--field-bg);"">ในกล่องใบใหญ่นี้ฉันได้เอารางวัลขนาดใหญ่มาให้เธอ</span>",Dins aquesta caixa grossa hi porte un gran premi per a tu.,
วันเสาร์เราไปพิพิธภัณฑ์กัน,Dissabte anem al museu.,
ทั้งให้ทุก ๆ อย่างที่ฉันมีแก่เธออะไรก็แล้ว เธอยังต้องการมากขึ้นอีก,"Donant-te tot el que tinc i tot, encara en vols més.",
อัศวินเอามืออีกข้างไว้บนอก,El cavaller es porta l'altra mà al pit.,
ภูมิอากาศของทะเลทางตอนเหนือไม่ค่อยเหมาะสมกับผู้คนจากทางตอนใต้สักเท่าไหร่,El clima del mar del nord no és gaire adequat per a la gent del sud.,
โรงเรียน(c)เปิดในเดือนกันยายน,El col·legi comença al setembre.,
ด้าน(c)ซ้ายของลานเมืองเป็นที่ที่มีบาร์(พหู)อยู่,El costat esquerre de la plaça és on hi ha els bars.,
ลูกพี่ลูกน้อง(เอก)ไปตลาดทุกวันศุกร์,El cosí va al mercat cada divendres.,
ในวันพิพากษา ผู้พิพากษาไม่อยู่,"El dia del judici, el jutge no hi era.",
สุนัขพาพวกเธอไปที่ทำงาน,El gos us porta a la feina.,
สิงโตได้หัวเราะอยากหนักกับเรื่องราวแปลก ๆ ที่เต่าสีฟ้าเล่าให้ฟัง,El lleó ha rigut tant de les coses estranyes que diu la tortuga blava.,
หนังสือมีจำนวนหน้าน้อย,El llibre té poques pàgines.,
ช่องไฟของหน้าในหนังสือนั้นเล็กนิดเดียว,El marge de les pàgines del llibre és petit.,
ทนายของฉันไม่มีความเป็นทางการใด ๆ เลย　มาดูกันว่าเขาจะปล่อยฉันเดียวหน้าศาลหรือไม่,El meu advocat no és gens formal. A veure si em deixa sol davant del jutge!,- . !
ลูกชายของฉันกลับมาจากโรงเรียนแบบมอมแมมตั้งแต่หัวจรดเท้า<u><b>ตลอด</b></u>เลย,El meu fill sempre torna de l'escola brut de cap a peus.,
ลูกเลี้ยงของฉันนั้นเหมาะสมที่สุดสำหรับงานนี้,El meu fillol és el més adequat per a aquesta feina.,
น้องชายของฉันไม่ให้ความสำคัญกับอะไรสักอย่าง,El meu germà no dona importància a res.,
แฟน(ชx)ฉันมีหน้าผากกว้าง,El meu xicot té el front gran.,
ธุรกิจต้องการผู้บริหารคนใหม่,El negoci necessita un nou executiu.,
ระดับ(!g)ไม่สูงมาก,El nivell no és gaire alt.,
นกเพนกวินมองดู(v)ก้อนหินสีเทาก้อนหนึ่ง,El pingüí veu una pedra grisa.,
อพาร์ตเมนต์ใหม่ และ<b><u>มี</u></b>แสงสว่างมาก,El pis és nou i hi ha molta llum.,
สิ่งที่พวกเขาชอบมาก<u><b>ที่สุด</b></u>คือการเล่า(อธิบาย)และแต่งนิทานและเรื่องราวประวัติศาสตร์,El que més els agrada és explicar i escriure contes i històries.,
หนูวิ่งรอบ ๆ แมว,El ratolí corre al voltant del gat.,
ลาไม่ค่อยมีความฉลาดเท่าไหร่ แต่มันก็ทำงานหนัก,"El ruc no té gaire intel·ligència, però treballa molt.",
สัญญาณวิทยุจากทางใต้มาถึงได้แรง,El senyal de la ràdio del sud arriba fort.,
ความปรารถนาของเขาคือการที่ได้เห็นน้องสาวของเขาอยู่ในอารมณ์ที่ดี,El seu desig és veure la seua germana de bon humor.,
โซฟาว่าง,El sofà és buit.,
ดวงอาทิตย์ขึ้นในตอนเช้าและตกในตอนกลางคืน ช่วงพอดีกับที่ดวงจันทร์ปรากฏ,"El sol ix al matí i es pon a la nit, just quan la lluna apareix.",
โทรศัพท์เสีย,El telèfon està trencat.,
มัน(ช)อยู่ด้านข้างเธอ,El tens a la teua banda.,"- ""ด้านข้าง""ใช้คำนาม"
รถไฟออกเวลา 13:30,El tren ix a l'una i mitja de la vesprada.,
เรือ(!b)มีความจุไม่เพียงพอ,El vaixell no té prou capacitat.,
เสื้อ(v)ใหญ่เกินไป,El vestit és massa gran.,
เขาว่ายน้ำไปไวว่าฉันเดินอีก,Ell nadant va més ràpid que jo caminant.,
เขาไม่เคยเห็นพ่อแม่เขาโกรธมากขนาดนี้มาก่อน และเขากลัวมาก,"Ell no havia vist mai els seus pares tan enfadats, i tenia molta por.",- pretèrit imperfet
เขาไม่ปฏิเสธใครเลย,Ell no rebutja ningú.,
เขาเดินตรงไปเสมอ,Ell sempre va endavant.,
เขามีศีรษะที่ใหญ่,Ell té un cap gran.,
เขาตกจากม้า,Ell va caure del cavall.,- pasat
เขาได้ยินเสียงนก(พหู),Ell va sentir els ocells.,- pasat
เขาอยากกอดฉัน,Ell vol fer-me una abraçada.,- กอดเป็นคำนาม
เธอ(๓)วิ่งไปทางตู้เย็น เพราะว่าเธอหิวน้ำและอยากกินน้ำเย็น,"Ella corre cap a la nevera, perquè té set i vol beure aigua fresca.",
เธอ(๓)มีความตั้งใจที่จะจ่ายตรงเวลา,Ella té la intenció de pagar a temps.,
พวกเธอ(๓)อาบน้ำ(b)ทุกวันก่อนที่จะไป<b><u>นอน</u></b>,Elles es banyen tots els dies abans d'anar a dormir.,- นอนไม่ใช่เตียง
พวกเขามอง(!v)ขึ้นไปบนฟ้า,Ells miren cap al cel.,
พวกเขาหั่นแซนด์วิช,Ells tallen l'entrepà.,
ปากกา(พหู)หลายสี,Els bolígrafs són de colors.,
เจ้าหน้าที่ดับเพลิง(พหู)ได้มาถึงทันเวลาที่จะดับไฟ<u><b>พอดี</b></u>,Els bombers han arribat tot just a temps per apagar el foc.,
เข็มขัด(พหู)ของคุณลุงนั้นหนา(๒),Els cinturons de l'oncle són gruixuts.,
หมามีสีขาว,Els gossos són blancs.,พหูพจน์
ฟ้าแลบเกิดขึ้นภายในหมู่ก้อนเมฆ,Els llamps es fan dins els núvols.,
เพื่อน ๆ ของฉันไปกันแล้ว,Els meus amics ja van tocar el dos.,
เด็ก ๆ ของฉันเล่นอยู่ในสวนเด็ก,Els meus nens juguen al parc infantil.,
สิ่งของ(พหู!c)ของฉันเป็นสีฟ้า,Els meus objectes són blaus.,
พ่อแม่ของฉันได้ขับรถจนถึงที่บ้าน,Els meus pares han conduït fins a casa.,
พ่อแม่ฉันไม่ได้ทำกับข้าวอะไรเลย,Els meus pares no han cuinat res.,
คุณพ่อแม่ของ<u><i><b>พวกเรา</b></i></u>พาเราไปสวน(p),Els nostres pares ens porten al parc.,
นก(พหู)มีสีแดง(!r),Els ocells són vermells.,
เหล่าทหารไปด้านหลังธง(พหู),Els soldats van darrere les banderes.,
เหล่าเป็ดไม่ว่ายน้ำในเดือนกุมภาพันธ์,Els ànecs no naden al febrer.,
อวัยวะ(พหู)ต้องถึงโรงพยาบาลก่อนพรุ่งนี้,Els òrgans han d'arribar a l'hospital abans de demà.,
ฉันมีความรู้สึกว่าไม่มีความจำเป็นที่จะต้องทำมัน,Em fa l'efecte que no hi ha necessitat de fer-ho.,
ฉันเจ็บแขน(พหู),Em fan mal els braços.,
เธอทำให้ฉันโกรธ,Em fas ràbia!,!
ฉันแปรงฟัน อาบน้ำ แต่งตัว หวีผม หลังจากนั้นฉันใส่รองเท้าแล้วก็ออกจากบ้าน,"Em rente les dents, em dutxe, em vist, em pentine. A continuació em pose les sabates i isc de casa.",
เธอทำให้ฉันเป็นบ้าด้วยรอยยิ้มของเธอ,Em tornes boig amb el teu somriure.,
Tom และ Laia เป็นลูกพี่ลูกน้อง　ในทุก ๆ หน้าร้อนพวกเขาจะไปพักร้อนด้วยกันและมีช่วงเวลาที่ดีมาก,En Tom i la Laia són cosins. Cada estiu van de vacances junts i s'ho passen molt bé.,
Tom พูดภาษาอังกฤษและกำลังเรียนภาษากาตาลัน,En Tom parla anglés i està aprenent català.,
ในคอร์สนี้มีหลาย(t)บทเรียน,En aquest curs hi ha tantes lliçons.,
ที่ถนนแห่งนี้ทุกครั้งการจราจรยิ่งหนาแน่นขึ้นเรื่อย ๆ,En aquesta carretera cada vegada hi ha més i més trànsit.,
ในช่วงเวลาที่ยากลำบากนี้(พหู) เธอเป็นรัศมีแห่งความหวังสำหรับฉัน,"En aquests moments difícils, eres per a mi un raig d'esperança.",
ในกรณีฉุกเฉิน ให้ดึงคันโยกของอุปกรณ์แจ้งเตือนภัย,"En cas d'emergència, tireu de la palanca de l'aparell d'alarma.",vosaltres
ในช่วงที่เขาไม่อยู่ฉันเห็นอะไรแย่ ๆ,En la seua absència hi veig una cosa dolenta.,
ในช่วงที่เธอไม่อยู่ฉันได้ทำบทอ่านบทที่สาม,En la teua absència faig la lectura del capítol tercer.,
ฉันต้องการอันไหนก็ได้,En vull qualsevol.,
พวกเราชอบว่ายน้ำในสระว่ายน้ำของ<u>โรงยิม</u>,Ens agrada nadar a la piscina del gimnàs.,
เราโดนโบกให้หยุดที่ด่านตำรวจ,Ens aturen en un control de policia.,
พวกเรามีความรู้สึกว่างานเลี้ยงนั้นประสบความสำเร็จ,Ens fa l'efecte que la festa va ser un èxit.,
พวกเราไปชายหาดในวันหยุดพักร้อน,Ens n'anem a la platja de vacances.,
พวกเธอส่งมัน(ช)มาให้พวกเราวันพรุ่งนี้นะ,Envieu-nos-el demà.,
พวกเราหลงทาง,Estem perduts.,
ฉันกำลังนอนในเตียงที่เล็ก แต่มันเพียงพอแล้ว,"Estic dormint en un llit petit, però en tinc prou.",
ฉันสบายดีมาก แล้วคุณล่ะ,"Estic molt bé, i tu?",tu
ฉันหลงทาง,Estic perdut.,
พวกเราเรียนวิชาพีชคณิต,Estudiem l'àlgebra.,
เธอกำลังพูดมาก แต่เธอไม่ฟังเลยสักน้อย,"Estàs parlant molt, però no escoltes gens.",
ฉันจะแนะนำพี่น้องของฉันให้รู้จัก,Et presente els meus germans.,→ tu / พี่น้องเป็นพหูพจน์
เธอหัวเราะใส่ฉันหรอ แย่ แย่ยิ่งกว่าแย่,"Et rius de mi? Dolent, més que dolent!",? !
ในฤดูหนาวอากาศหนาวมาก,Fa molt de fred a l'hivern.,
อากาศร้อนมากในฤดูร้อน,Fa molta calor a l'estiu.,
มีลมพัดในเดือนมีนาคม,Fa vent al març.,
ฉันมาเข้าเรียนสาย,Faig tard a classe.,
อีกไกลไหมกว่าจะถึงบ้าน,Falta molt per arribar a casa?,
พวกเขาสร้างสนามกีฬาใหม่สำหรับทีมเพราะว่าอันเก่ามัน(กลายเป็น)เล็ก,Fan un estadi nou per a l'equip perquè el vell ha quedat petit.,
พวกเขาสร้างสเตเดียมแห่งใหม่ในเมือง จนมีห้าที่แล้ว,"Fan un nou estadi a la ciutat, i ja en són cinc.",
พวกเธอน่ารังเกียจเพราะว่าเธอมีเสื้อผ้า(เอก+a)สกปรก,Feu fàstic perquè teniu la roba bruta.,
แล้วพบกันใหม่,Fins desprès,
พบกันไว ๆ นี้,Fins prompte.,
เขาได้ทำประตูที่ไวที่สุดในลีก,Ha fet el gol més ràpid de la lliga.,
ฝนได้ตกหนัก,Ha plogut molt.,
ฉันต้องเตรียมตัว,Haig de preparar-me.,
พวกเขาได้เริ่มพูด,Han començat a parlar.,
คุณเคยทรมานกับอาการปวดหัวที่รุนแรงขนาดนี้มาก่อนหรือไม่,Has patit mai un mal de cap tan fort?,
พวกเราได้ไปโรงพยาบาลด้วยรถยนต์,Hem anat a l'hospital en cotxe.,
(es: Hemos querido verlas),Hem volgut veure-les.,
มีหมอก,Hi ha boira.,
มีเศษกระดาษสีสันอยู่ด้านนอกถังขยะ,Hi ha confeti fora de la paperera.,
มีหมวกอยู่สองใบอยู่ด้านบน(d)<b><i><u>จอ</u></i></b>คอมพิวเตอร์,Hi ha dos barrets damunt de la pantalla de l'ordinador.,
มีหนูสองตัวอยู่นอกบ้าน,Hi ha dos ratolins fora de la casa.,
มีหนังสือ(พหู)อยู่บน(d)โต๊ะ,Hi ha llibres damunt de la taula.,
มีดอกไม้หลายดอกหลากสีสันในฤดูใบไม้ผลิ,Hi ha moltes flors acolorides a la primavera.,
มีกระดาษสี่แผ่นอยู่ด้านใต้(s)ถังขยะ,Hi ha quatre papers sota de la paperera.,
มีเสื้อผ้า(เอก)อยู่<b><u>ด้านใน</u></b>ตู้เสื้อผ้า,Hi ha roba dins de l'armari.,
มีสามเตียงอยู่ในห้องนอน,Hi ha tres llits al dormitori.,
มีกระจกหนึ่งบานอยู่ในห้องโถงรับแขก,Hi ha un espill al rebedor.,- กระจก: e
มีหนูหนึ่งตัวอยู่ในห้องนอนด้านบน(d)เตียง,Hi ha un ratolí al dormitori damunt del llit.,
มีเด็กผมสีทองอยู่ด้านข้างเด็กผมสีน้ำตาล,Hi ha un xiquet ros al costat del xiquet castany.,
มีกระเป๋าถืออยู่ใต้(d)โต๊ะ,Hi ha una bossa davall la taula.,
พวกเราทำ(มัน)<u><i><b>แบบนี้</b></i></u>ตั้งแต่ตอนนั้น,Ho fem així des de llavors.,
ขอโทษ,Ho sent.,
แปดลบหกเหลือสอง,Huit menys sis fan dos.,
Ivan เกิดในฤดูใบไม้ผลิ ช่วงปลายเดือนเมษายนและ Joan ช่วงกลางเดือนมิถุนายน,"Ivan va nàixer a la primavera, a finals d'abril i Joan a mitjan juny.",
เราอยู่ใกล้แล้ว (เราใกล้จะถึงแล้ว),Ja hi estem prop.,
ฉันบอกพวกเขาไปว่าไม่,Jo els dic que no.,
ฉันเขียนด้วยขนนกแบบไหนก็ได้ แต่ฉันไม่ต้องการ(v)ปากกา,"Jo escric amb qualsevol ploma, però no vull bolígraf.",
ฉันกอดผู้หญิงคนนี้,Jo faig una abraçada a aquesta dona.,
ฉันรวมจิตแพทย์(ทั้งหญิงและชาย)ไปในอาชีพที่จำเป็นในยุคปัจจุบันด้วย,Jo incloc les psicòlogues i els psicòlegs entre els professionals necessaris avui dia.,
ฉันล้างส้อม(พหู),Jo rente les forquilles.,
ฉันตัดขนมปังด้วยมีดเล่มใหม่เล่มหนึ่ง,Jo talle el pa amb un ganivet nou.,
ฉันหยิบหมวก(พหู),Jo vaig treure els barrets.,- pasat
เราเล่นในสองลีกพร้อมกัน,Juguem en dues lligues a la vegada.,
น้ำเป็นพื้นฐานสำหรับการดำรงชีวิต,L'aigua és bàsica per viure.,
เทศบาลของหมู่บ้านเธอนั้นรวย,L'ajuntament del teu poble és ric.,
แมงมุมอยู่ด้านหลัง<b><i><u>พวก</u></i></b>เธอ,L'aranya és darrere vostre.,
ช้างกลัวหนู,L'elefant té por del ratolí.,
สถานีรถไฟอยู่ไกลจากมหาวิทยาลัย,L'estació està lluny de l'universitat.,
นักเรียนสูญเสียสมาธิได้ง่ายมาก,L'estudiant perd fàcilment la concentració.,
ฉันได้รู้จักเขาเมื่อเช้านี้,L'he conegut aquest matí.,
ผู้ชายเล่นกับเงาของเขา,L'home juga amb la seua ombra.,
นกหลับอยู่บนกิ่งของต้นไม้,L'ocell dorm a la branca de l'arbre.,
นกอยู่ที่บ้าน　สิงโตก็อยู่(ที่นั่น),L'ocell és a casa. El lleó també hi és.,
ทองไม่ได้มีสีเหลือง,L'or no és groc.,
แกะมีสีขาว,L'ovella és blanca.,เอกพจน์
สูญเสียการได้ยิน แต่ใบหูไม่เป็นไร,"L'oïda es perd, però l'orella no.",
เป็ดสีเหลืองเป็นเพื่อนร่วมชั้นเรียนกับเต่าสีฟ้า,L'ànec groc és company de classe de la tortuga blava.,
ฉากสุดท้ายคือดีที่สุด,L'última escena és la millor.,
บ้านที่แมวนอนอยู่ด้านในนั้นใหญ่,La casa dins la qual dorm el gat és gran.,
กุญแจของประตูสีเหลืองคืออันสีแดง,La clau de la porta groga és la vermella.,
การสร้างเครื่องจักรนำไปสู่การปฏิวัติอุตสาหกรรม,La creació de les màquines va portar la revolució industrial.,
ผู้หญิงหอมแก้มผู้ชาย,La dona fa un petó a l'home.,
ใบไม้มีสีเขียว,La fulla és verda.,เอกพจน์
ผู้คนสามารถเล่น ทำงาน และทำสิ่งต่าง ๆ ในระหว่างกลางวัน และพอถึงตอนกลางคืนดวงจันทร์ขึ้นแล้วทุกคนก็ไปนอนเพื่อพักผ่อนและเริ่มต้นวันใหม่ด้วยพลังงานที่เต็มเปี่ยมและอารมณ์ที่แจ่มใส,"La gent pot jugar, treballar i fer coses durant el dia, i quan a la nit ix la Lluna, tothom se'n va a dormir per descansar i començar el nou dia plens d'energia i bon humor.",
กางเกงส่วนใหญ่เป็นของฉัน,La majoria dels pantalons són meus.,
แม่ของ Tom และ พ่อของ Laia เป็นพี่น้องกัน,La mare del Tom i el pare de la Laia són germans.,
อาจารย์(ญm)อยากให้นักเรียนพูดคำตอบ,La mestra vol que els estudiants diguin la resposta.,
บ้านฉันอยู่ใกล้สถานีรถไฟ,La meua casa està a prop de l'estació.,
เพื่อนร่วมงาน(ญ)ของฉันเป็นคนง่าย ๆ และไม่เสแสร้ง(ธรรมชาติ),La meua companya és una persona senzilla i natural.,
ลูกสาวของฉันเล่นกีฬา,La meua filla fa esport.,
เสื้อแจ็กเก็ตของฉันเล็กกว่าของเธอ,La meua jaqueta és més xicoteta que la teua.,
กระเป๋าสะพายฉันอยู่ในรถ,La meua motxilla és al cotxe.,
แฟน(ญ)ของฉันใช้เวลาตอนเช้าด้วยการอ่านและเขียน,La meua xicota passa el matí llegint i escrivint.,
ฉบับใหม่ออกขายแล้ว,La nova edició ja està a la venda.,
งานใหม่นี้ต้องการสติปัญญามากขึ้น,La nova tasca necessita més intel·ligència.,
คนไข้(ญ)มีความดันต่ำ,La pacient té la pressió baixa.,
คน(p)ที่ฉันพูดถึงก็คือเธอ,La persona de qui parle eres tu.,
ตำรวจไม่เคยรู้เลยว่าเกิดอะไรขึ้น,La policia mai va descovrir el que havia passat.,- passat<br>- ไม่ค้นพบสิ่งที่ได้เกิดขึ้น
อาจารย์(ญ)อยู่ด้านหลังโต๊ะ ด้านหน้ากระดานดำ,"La professora està darrere de la taula, davant de la pissarra.",
การสูญเสียเงินนั้นสร้างผลกระทบแก่ครอบครัวของเรา,La pèrdua de diners afecta la nostra família.,
สัปดาห์ที่จะถึงนี้พวกเราหยุดพักร้อนและไม่ไปสอนในชั้นเรียน,La setmana que ve fem vacances i no fem classe.,
ปากของเขาเล็ก(x),La seua boca és xicoteta.,
บ้านของเขาอยู่ด้านข้างร้านค้า,La seua casa està al costat de la botiga.,
อันโชคนั้น ถ้าไม่แสวงหา ก็ไม่เจอ,"La sort, si no es busca, no es troba.",
ฤดูใบไม้ร่วงเป็นฤดูที่ฉันชอบ,La tardor és la meua estació preferida.,
เต่าไม่แก่,La tortuga no és vella.,
เต่าอยู่ข้างเป็ด,La tortuga és al costat de l'ànec.,
ฉันเลิกชอบเขา(ช)แล้ว,La vaig deixar estimant-lo.,
ฉันเจอเขา(ญ)ที่บ้านกำลังเขียนจดหมายหนึ่งฉบับให้ฉัน,La vaig trobar a casa escrivint-me una carta.,- pasat
เวอร์ชันดั้งเดิมเป็นภาษาอังกฤษ,La versió original és en anglés.,
การมองเห็นเกิดขึ้นได้(เป็นไปได้)จากรังสี(พหู)ของแสง,La visió és possible gràcies als raigs de llum.,
บ้าน(พหู)ว่าง,Les cases són buides.,
ทั้งสองคำมีความหมายเหมือนกัน,Les dues paraules tenen el mateix significat.,
งานเลี้ยง(พหู)ที่ฉันจัดนั้นเรียบง่ายมาก โดยไม่มีสิ่งของพิเศษอะไรมากมาย,"Les festes que jo faig són molt senzilles, sense gaires coses especials.",
ชั่วโมง นาที และวินาทีเป็นหน่วยนับเวลา,"Les hores, els minuts, i els segons són unitats de temps.",
ป้า ๆ สามคนของฉันกิน(reflex.)แอปเปิลหกลูก สองลูกต่อคน,"Les meues tres ties van menjar-se sis pomes, dues per hom.",- pasat
