thaïlandais,français,หมายเหตุ
ฉันชอบอันไหน(ญ),J'aime laquelle?,svo
ฉันชอบชุด(พหู)สีแดง,J'aime les robes rouges.,
ฉันชอบตอนที่(!q)มันง่าย,J'aime lorsque c'est facile.,
ฉันชอบกิน,J'aime manger.,
ฉันชอบชุดเดรส(พหู)ของเธอ,J'aime tes robes.,
ฉันเรียนคำศัพท์จำนวนหนึ่ง,J'apprends des mots.,
ฉันรออาหาร(n)ของฉัน,J'attends ma nourriture.,
ฉันไปละ,J'y vais.,
ฉันดื่มน้ำ,Je bois de l'eau.,ไม่เจาะจง
ฉันดื่มชาและฉันกินขนมปัง,Je bois du thé et je mange du pain.,
ฉันทำแก้ว(พหู)แตก,Je casse des verres.,
ฉันตามหาสุนัขของฉัน,Je cherche mon chien.,
ฉันหาของขวัญชิ้นหนึ่งให้ลูกสาวของฉัน,Je cherche un cadeau pour ma fille.,
ฉันสั่งมันฝรั่งทอด,Je commande des frites.,y
ฉันเชื่อในเขา,Je crois en lui.,
ฉันรวยขึ้น,Je deviens riche.,
ฉันพูดขอบคุณ,Je dis merci.,
ฉันอ่าน เพราะ(๑)ฉันชอบหนังสือ(+a),"Je lis, car j'aime le livre.",
ฉันอ่าน แม้ตอนกลางคืน,"Je lis, malgré la nit.",
ฉันกินขนมปังกับชีส,Je mange du pain avec du fromage.,
ฉันกินไก่ เพราะ(๑)ฉันชอบเนื้อ(+a),"Je mange du poulet, car j'aime la viande.",
ฉันกินแอปเปิลผลที่กลม ๆ,Je mange la pomme ronde.,
ฉันกินส้มหนึ่งลูก,Je mange une orange.,
ฉันเดินไปถึงเธอ(๓ญ),Je marche jusqu'à elle.,
ฉันเดินไปทางเขา(ญ),Je marche vers elle.,
ฉันไม่ได้อายุเจ็ดขวบ,Je n'ai pas sept ans.,
ฉันไม่รู้ว่ามารีอยู่ที่ไหน,Je ne sais pas où est Marie.,
ฉันไม่รู้ว่าจะทำอะไรดี,Je ne sais pas quoi faire.,
ฉันพูดในขณะที่ฉันกิน,Je parle pendant que je mange.,
ฉันขอเค้กสักหน่อยได้ไหม,Je peux avoir un peu de gâteau?,
ฉันใส่กางเกงตัวหนึ่งอยู่,Je porte un pantalon.,
ฉันกลับบ้าน,Je rentre chez moi.,
ฉันเคารพภรรยาของเธอ,Je respecte ta femme.,
ฉันเห็นด้วย,Je suis d'accord.,
ฉันอยู่หน้าประตูบ้านเธอ　เธอจะมาเมื่อไหร่,Je suis devant ta porte. Tu arrives quand?,
ฉันอยู่กับเอ็มมาแล้ว　เธออยู่ไกลไหม,Je suis déjà avec Emma. Tu es loin?,
ฉันขอโทษ,Je suis désolé.,
ฉันรีบเพราะฉันกำลังสาย,Je suis pressé parce que je suis en retard.,
ฉันไปร้านกาแฟ,Je vais au café.,
ฉันจะไปกินขนมปังบาเกต์อันหนึ่ง,Je vais manger une baguette.,
ฉันแค่ต้องการแมวหนึ่งตัว,Je veux juste un chat.,
ฉันอยากกินไก่,Je veux manger du poulet.,
ฉันเห็นว่าเธออ่าน,Je vois que tu lis.,
ฉันอยากได้เสื้อผ้าสำหรับวันหยุดพักร้อนของฉัน,Je voudrais des vêtements pour mes vacances.,
ฉันอยากอยู่ด้านข้างของแฟน(ญ)ของฉันในเครื่องบิน,Je voudrais être à côté de ma copine dans l'avion.,
ฉันเอามัน(ญ)ให้พวกเธอ,Je vous la donne.,
จูเนียร์วิ่งไปบ้านวิกรมและกลับมาพร้อมกับเสื้อแจ็กเก็ตของเอ็ดดี้,Junior court chez Vikram et rentre avec la veste d'Eddy.,
จูเนียร์เล่นวีดิโอเกม(พหู),Junior joue aux jeux vidéo.,
สัตว์ตัวหนัก,L'animal est lourd.,
สัตว์<sub>(เอก)</sub>ทำให้เด็ก ๆ สนใจ,L'animal intéresse les enfants.,
ขอน้ำร้อนหน่อยครับ,"L'eau chaude, s'il vous plaît.",
น้ำสกปรก,L'eau est sale.,
เด็กซ่อนช็อกโกแล็ต(+a),L'enfant cache le chocolat.,
เด็กหยิบกางเกงยีนหนึ่งตัว,L'enfant prend un jean.,
ผู้ชายอเมริกาดื่มเบียร์,L'homme américain boit de la bière.,
ผู้ชายรอภรรยาของเขา,L'homme attend sa femme.,
ผู้ชาย(คนนั้น)รวย,L'homme est riche.,
ผู้ชายและผู้หญิงมีปลาเท่ากัน,L'homme et la femme ont autant de poisson.,
ผู้ชายและผู้หญิงเขียนจดหมายหนึ่งฉบับ,L'homme et la femme écrivent une lettre.,
ผู้ชาย(คนนั้น)รู้,L'homme sait.,
น้ำมันนั้นบริสุทธิ์,L'huile est pure.,
ส้มอร่อย,L'orange est bonne.,
หมีนอนถึงเมื่อไหร่,L'ours dort jusqu'à quand?,
เสื้อเชิ้ตสะอาดและแห้ง,La chemise est propre et sèche.,
เสื้ออยู่ใต้กางเกง,La chemise est sous le pantalon.,
หมา(ตัวเมีย)มีสีเทา,La chienne est grise.,
ผู้หญิงให้เสื้อของเธอ,La femme donne sa robe.,
ผู้หญิงป่วย,La femme est malade.,
ผู้หญิงขายผัก,La femme vend des légumes.,
เด็กผู้หญิงดื่มน้ำส้ม,La fille boit du jus d'orange.,
เด็กผู้หญิงอยู่ที่บ้านของเขา(๓ญ),La fille est chez elle.,
เด็กผู้หญิงขว้างรองเท้าข้างหนึ่ง,La fille lance une chaussure.,
อาหารนั้นสมบูรณ์แบบ,La nourriture est parfaite.,
อาหารสำหรับสุนัขนั้นแพง,La nourriture pour chiens est chère.,
แมว(ญ)ตัวเล็กกินปลา(+a),La petite chatte mange le poisson.,
แอปเปิลมีสีแดง,La pomme est rouge.,
ชุดเดรสสะอาด,La robe est propre.,
ชุดเดรสมีสีแดง,La robe est rouge.,
มะเขือเทศกับสลัดนั้นรสชาติดี,La tomate et la salade sont bonnes.,
อันไหนนะที่เป็นอันที่ดี(ญ),Laquelle est la bonne?,
แมวนอนอยู่ท่ามกลางเหล่าสุนัข,Le chat dort parmi les chiens.,
แมวนอนอยู่บนลิง,Le chat dort sur le singe.,
แมวสีน้ำตาลกินเนื้อ(+a)สีแดง,Le chat marron mange la viande rouge.,
แมวสีดำตัวเบา,Le chat noir est léger.,
ม้าเป็นของพวกเขา(ญ-พหู),Le cheval est à elles.,
สุนัขกินบาเกต์ไปทั้งอัน,Le chien mange la baguette entière.,
อาหารเย็นมีกี่โมงคืนนี้,Le dîner est à quelle heure ce soir?,คำถาม
เด็ก(ช)ตลก,Le garçon est drôle.,
เด็กผู้ชายอยากได้เนย,Le garçon veut du beurre.,
ขนมเค้กมีสีแดงและดำ,Le gâteau est rouge et noir.,
หนังสือของปอลน่าสนใจจริง ๆ,Le livre de Paul est vraiment intéressant.,
ขนมปังร้อน,Le pain est chaud.,
ลิงเดินตามแมว,Le singe suit le chat.,
สีเขียวเป็นสีที่งดงามสีหนึ่ง,Le vert est une jolie couleur.,
ไวน์เป็นของเหลว,Le vin est liquide.,
ใบไหนเป็นหมวกของเธอ,Lequel est ton chapeau?,
อันไหนเป็นสุนัขของคุณ(v),Lequel est votre chien?,
ตัวไหนคือสุนัขของคุณ(v),Lequel est votre chien?,
หมวก(พหู)ของคุณผู้หญิงทั้งหลายนั้นราคาแพง,Les chapeaux des femmes sont chers.,
เด็ก ๆ ต้องกิน,Les enfants doivent manger.,
เด็กหญิง(พหู)และเด็กชาย(พหู)อ่านหนังสือพิมพ์ฉบับหนึ่ง,Les filles et les garçons lisent un journal.,
เด็ก ๆ ผู้ชายดื่มน้ำ,Les garçons boivent de l'eau.,
เหล่าหมาตัวเมียตัวใหญ่ดื่มน้ำ(!d),Les grosses chiennes boivent l'eau.,
เด็ก ๆ (พหู+อายุน้อย)กินช็อกโกแลต(+a),Les jeunes enfants mangent le chocolat.,
ชาย<u><i><b>หนุ่ม</b></i></u>(พหู+adj)เขียนจดหมายจำนวนหนึ่ง,Les jeunes hommes écrivent des lettres.,
น้ำผลไม้(พหู)รสชาติดี,Les jus sont bons.,
หมี(พหู)กินมะนาวจำนวนหนึ่ง,Les ours mangent des citrons.,
เด็กผู้หญิง(พหู+ตัวเล็ก)อ่านหนังสือจำนวนหนึ่ง,Les petites filles lisent des livres.,
ชุดเดรส(พหู)และแอปเปิล(เอก)มีสีแดง,Les robes et la pomme sont rouges.,
ช้าง(พหู)กินขนมปัง,Les éléphants mangent du pain.,
อันไหนบ้าง(พหู)ที่เป็นสีเขียว,Lesquels sont verts?,
สุนัขของพวกเขากินข้าว,Leur chien mange du riz.,
Luis เป็นคนใจดี,Luis est sympa.,
ครอบครัวของฉันมาสัปดาห์หน้า,Ma famille vient la semaine prochaine.,
ภรรยาของฉันเป็นคนจีน,Ma femme est chinoise.,
ภรรยาของฉันนั้นอ่อนหวาน,Ma femme est douce.,
กระโปรงฉันยาว,Ma jupe est longue.,
เพื่อนบ้าน(ญ)คนใหม่ของฉันเอาเค้กมา,Ma nouvelle voisine apporte le gâteau.,
ตอนนี้ ฉันเหนื่อยจริง ๆ,"Maintenant, je suis vraiment fatigué.",
ขอบคุณและราตรีสวัสดิ์,Merci et bonne nuit.,
ลูก ๆ ของฉันมีความสุขกันมาก,Mes enfants sont très contents.,
หนังสือ(พหู)ของฉันนั้นแย่,Mes livres sont mauvais.,
หนังสือของฉัน(พหู)มีสีแดง,Mes livres sont rouges.,
โอ้ไม่นะ น้ำมะนาวอยู่ในรถ,"Mince, la limonade est dans la voiture.",
เสือของฉันกินเนื้อ,Mon tigre mange de la viande.,
พวกเรารักแมวของเรา,Nous aimons notre chat.,
พวกเรามีแมวอยู่จำนวนหนึ่ง,Nous avons des chats.,
เรามีแมว(ญ)ตัวที่สามตัวหนึ่ง,Nous avons une troisième chatte.,
พวกเราหาหนังสือเล่มหนึ่ง,Nous cherchons un livre.,
พวกเราขายมัน(ญ)ให้พวกเขา,Nous la leur vendons.,
พวกเราขายมัน(ช)ให้กับเขา,Nous le lui vendons.,
พวกเรากินชีสและพวกเขากินปลา,Nous mangeons du fromage et ils mangent du poisson.,
พวกเราพูดกับเขา,Nous parlons avec lui.,
พวกเราเป็นผู้หญิง,Nous sommes des femmes.,
พวกเรากำลังหลงทางอยู่ตอนนี้,Nous sommes perdus maintenant.,
พวกเราอยากได้อพาร์ตเมนต์แห่งหนึ่งในลียง,Nous voulons un appartement à Lyon.,
Omar ต้องการแค่งานเลี้ยงเล็ก ๆ กับเพื่อนสองคน,Omar veut juste une petite fête avec deux amis.,
ใช่แล้ว นั่นคือพวกเขา,"Oui, ce sont eux.",
พ่อแม่เธออยู่ไหน,Où sont tes parents?,
เขาไปไหน,Où va-t-il?,
คุณพ่อ(papa)และมารีพูดคุยกันทุกเช้า,Papa et Marie parlent tous les matins.,
ในช่วงที่ฉันอ่านอยู่ เขาเขียน,"Pendant que je lis, il écrit.",
ฝนตกหรอ,Pleut-il?,
ทำไมเธอ(๓ญ)ถึงมีเสื้อผ้าเยอะขนาดนี้,Pourquoi a-t-elle autant de vêtements?,
ทำไมเขาถึงวิ่ง,Pourquoi court-il?,
ทำไมเขาถึงอ่าน,Pourquoi lit-il?,
เธอ(๓ญ)มีอะไร,Qu'a-t-elle?,
เขากินอะไร,Qu'est-ce qu'il mange?,- Qq
ฉันเป็นอะไร,Qu'est-ce que je suis?,- Qq
พวกเราควรจะซื้ออะไรดี,Qu'est-ce que nous devons acheter?,- Q'e
เธอทำอะไรที่นี่,Qu'est-ce que tu fais ici?,Q'e
นี่หมายความว่าอะไร,Qu'est-ce que ça signifie?,- Qc
มีอะไรกินบ้าง,Qu'y a-t-il à manger?,
มีอะไรอยู่หรอ,Qu'y a-t-il?,
เธอ(๓ญ)อ่านเมื่อไหร่,Quand lit-elle?,
เธอ(๓ญ)อ่านอะไร,Que lit-elle?,- Q
เธออายุเท่าไหร่,Quel âge as-tu?,
จดหมายฉบับไหน,Quelle lettre?,
อันไหนคือรองเท้าของเธอ,Quelles sont tes chaussures?,
ใครคือผู้หญิงคนนั้น,Qui est cette femme?,
พวกเขาเป็นใคร,Qui sont-ils?,
ได้โปรด (→ tu),S'il te plaît.,
ได้โปรด (→ vous),S'il vous plaît.,
สีของเขาคือสีแดง,Sa couleur est le rouge.,
โทรทัศน์ของเขาเครื่องใหญ่ และฉันมีความจำเป็นที่จะดูการแข่งฟุตบอล,"Sa télé est grande, et j'ai besoin de regarder le match de football.",
คุณรู้ไหมว่ามันอยู่ที่ไหน,Savez-vous où c'est?,
หนังสือ(พหู)ของเขาเป็นสีแดง,Ses livres sont rouges.,
มีแค่ผู้หญิง(พหู)เท่านั้นที่ดื่มชา,Seuls les femmes boivent du thé.,
ถ้าเขา(ญ)กิน ฉันกิน,"Si elle mange, je mange.",
กางเกงของเขาแห้ง,Son pantalon est sec.,
เสื้อเชิตของเธอสีเหลือง,Ta chemise est jaune.,
กระโปรงของเธอมีสีขาว,Ta jupe est blanche.,
ซุปของเธอรสชาติดี,Ta soupe est bonne.,
เธอและฉันดื่มไวน์,Toi et moi buvons du vin.,
เธอกับฉันเรารวย,Toi et moi sommes riches.,
หมวกของเธอสีมันมืด ๆ,Ton chapeau est sombre.,
หมูของเธอตัวใหญ่มโหฬาร(e),Ton cochon est énorme.,
กางเกงยีนตัวใหม่ของเธอสกปรก,Ton nouveau jean est sale.,
หนังสือเดินทางของเธอไม่ได้อยู่ในรถแท็กซี่,Ton passeport n'est pas dans le taxi.,
คุณมีไอเดียอะไรสำหรับวันเกิดของคุณไหม,Tu as des idées pour ton anniversaire?,
เธอ(๒)มีวีดิโอเกมจำนวนหนึ่งอยู่ที่บ้าน,Tu as des jeux vidéos à la maison.,
เธอมีโทรศัพท์เครื่องใหม่แล้ว,Tu as déjà un nouveau portable.,
เธอมีของขวัญสำหรับวันเกิดของ Alice ไหม,Tu as un cadeau pour l'anniversaire d'Alice?,
เธอดื่มนมและกินแซนด์วิช<u><b>ชีส</b></u>หนึ่งชิ้น,Tu bois du lait et manges un sandwich au fromage.,
เธอทำร่มฉันพัง,Tu casses mon parapluie.,
เธอต้องกินอะไรสักอย่าง,Tu dois manger quelque chose.,
เธอมันงี่เง่า,Tu es bête.,
เธอพร้อมสำหรับการสอบของเธอ,Tu es prêt pour ton examen.,
เธอเป็นอะไร,Tu es quoi?,
เธอ(๒ญ)แน่ใจหรอว่านั่นเป็นเขา,Tu es sûre que c'est lui?,
เธอเป็นเด็กผู้หญิง,Tu es une fille.,
เธออ่านจดหมาย(พหู)ล่าสุดของฉัน,Tu lis mes dernières lettres.,
เธอ(๒)กินกับข้าวเหมือนเดิม,Tu manges le même repas.,
เธอ(t)กินมะเขือเทศหนึ่งลูกและผลไม้จำนวนหนึ่ง,Tu manges une tomate et des fruits.,
เธอพูดเกี่ยวกับหนังสือ(พหู),Tu parles des livres.,
เธอ<u><b>ไป</b></u>หากุญแจ(พหู)ในห้องนอนได้ไหม,Tu peux aller chercher les clés dans la chambre?,
เธอใส่หมวกใบหนึ่ง,Tu portes un chapeau.,
เธออยากกินอะไร,Tu veux manger quoi?,~ q
เธออยากได้อะไร,Tu veux quoi?,
ตั๋วไปนิวยอร์กใบหนึ่งราคาสี่ร้อยยูโร,Un billet pour New York coûte quatre cents euros.,
ผู้ชายคนหนึ่งเอาไวน์ไปด้วย,Un homme apporte du vin.,
แอปเปิลลูกหนึ่งนั้นเบา,Une pomme est légère.,
Vikram และ Priti อยู่ที่ซุปเปอร์มาร์เก็ต,Vikram et Priti sont au supermarché.,
อ้ะนี่ไอศกรีมช็อคโกแลตของเธอ,Voilà ta glace au chocolat.,
หนูของ<u><i><b>พวกเธอ</b></i></u>กินชีส,Votre souris mange du fromage.,
โต๊ะของ<u><b>คุณ</b></u>อยู่ที่นี่,Votre table est ici.,
พวกเธอมีรองเท้าเหมือนกันเลย,Vous avez les mêmes chaussures.,
คุณ(v)อยากดื่ม,Vous voulez boire.,
คุณต้องการ(สิ่งของ)อะไรหรือเปล่า,Vous voulez quelque chose?,
คุณอยากได้พิซซ่าอีกชิ้นไหม,Vous voulez une autre part de pizza?,
คุณอยู่ที่สถานีแล้วหรอ,Vous êtes déjà à la gare?,
พวกเธอตัวใหญ่สูง,Vous êtes grands.,
เจอกันไว ๆ นี้,À bientôt!,!
แล้วเจอกันใหม่ (ทีหลัง),À plus tard!,!
นี่ราคาสิบยูโร,Ça coûte dix euros.,
