valencià,tailandés,Add Reverse
el bes,(นาม)จูบ,y
el beset,(นาม)หอม (ES: besito),y
el bigoti,หนวด,y
el bolet,เห็ดรา,y
el bolígraf,ปากกา,y
el bomber,นักดับเพลิงผู้ชาย,y
el borrador,ยางลบ,y
el bosc,ป่า,y
el bou,กระทิง,y
el bròquil,บร็อคโคลี,y
el buit,หลุม รู ช่องว่าง,y
el cabell,เส้นผม (c),y
el cafè,กาแฟ,y
el caixer,แคชเชียร์ผู้ชาย,y
el calaix,ลิ้นชัก,y
el camal,ขา (กางเกง),y
el cambrer,บริกรผู้ชาย,y
el camí,ทาง หนทาง ถนน (es: el camino),y
el camió,รถบรรทุก,y
el camp,ค่าย แคมป์,y
el camperol,ชาวนา,y
el canell,ข้อมือ,y
el cantant,นักร้องผู้ชาย,y
el cantó,มุม หัวมุม (c),y
el canvi,ความเปลี่ยนแปลง,y
el cap,ศีรษะ / เจ้านาย,y
el capatàs,หัวหน้าคนงานผู้ชาย,y
el cap de setmana,เสาร์อาทิตย์ สุดสัปดาห์,y
el cap de suro,คนง่าว หัวตัน,y
el capítol,บทเรียน (c),y
el caqui,ลูกพลับ,y
el carnisser,คนขายเนื้อสัตว์ผู้ชาย,y
el carrer,ถนน (c),y
el carter,บุรุษไปรษณีย์,y
el cartó,กระดาษลัง,y
el castell,ปราสาท,y
el castellà,ภาษาสเปน,y
el castró,ตะกร้า,y
el català,ภาษากาตาลัน / คนกาตาลัน (ช),y
el cavall,ม้า,y
el celiandre,ผักชี,y
el centre,ศูนย์กลาง,y
el chec,ภาษาเช็ก / คนเช็ก (ช),y
el chiquet,เด็กผู้ชาย (c),y
el científic,นักวิทยาศาสตร์ผู้ชาย,y
el cine,โรงภาพยนตร์,y
el cirurgià,ศัลยแพทย์ (ช),y
el clau,ตะปู,y
el cobertor,ผ้าปู ผ้าคลุม,y
el cobrellit,ผ้าคลุมเตียง,y
el codi,รหัส,y
el cognom,นามสกุล,y
el coixí,เบาะ,y
el coll,คอ,y
el col·legi,โรงเรียน (c),y
el colze,ข้อศอก,y
el company,เพื่อนร่วมชั้น เพื่อนร่วมงาน (ชาย),y
el concert,คอนเสิร์ต,y
el conductor,คนขับรถผู้ชาย,y
el coneixement,ความรู้,y
el contable,นักบัญชีผู้ชาย,y
el cor,หัวใจ,y
el correu,ไปรษณีย์,y
el cosí,ลูกพี่ลูกน้องผู้ชาย,y
el cotxe,รถ,y
el cuiner,คนทำอาหารผู้ชาย กุ๊กผู้ชาย,y
el cunyat,พี่เขย น้องเขย,y
el curs,วิชาเรียน กระบวนวิชา (ES: el curso),y
el dalt,ด้านบน ชั้นบน เหนือ (คำนาม),y
el dentiste,ทันตแพทย์ผู้ชาย,y
el dependent,ลูกจ้างผู้ชาย,y
el desembre,ธันวาคม,y
el desig,ความปรารถนา (es: el deseo),y
el despatx,สำนักงาน (d),y
el dijous,วันพฤหัสบดี,y
el dilluns,วันจันทร์,y
el dimarts,วันอังคาร,y
el dimecres,วันพุธ,y
el dissabte,วันเสาร์,y
el dit,นิ้วมือ,y
el diumenge,วันอาทิตย์,y
el divendres,วันศุกร์,y
el dormitori,ห้องนอน,y
el farmacèutic,เภสัชกร (ช),y
el febrer,กุมภาพันธ์,y
el fem,ขยะ,y
el femater,คนเก็บขยะผู้ชาย,y
el fetge,ตับ,y
el fill,ลูกชาย,y
el fillastre,ลูกเลี้ยงผู้ชาย,y
el foguer,เตา,y
el fontaner,ช่างประปา (f),y
el formatge,ชีส,y
el forn de pa,ร้านขนมปัง,y
el forner,คนทำขนมปังผู้ชาย,y
el fotògraf,ช่างถ่ายรูปผู้ชาย,y
el francés,ภาษาฝรั่งเศส / คนฝรั่งเศส (ช),y
el fred,ความหนาวเย็น,y
el front,หน้าผาก,y
el fruit,ผลไม้,y
el full de paper,กระดาษจด ชีท,y
el fuster,ช่างไม้ผู้ชาย,y
el futboliste,นักฟุตบอลผู้ชาย,y
el gall,ไก่ตัวผู้,y
el ganivet,มีด,y
el garatge,โรงรถ,y
el gelat,ไอศกรีม,y
el gendre,ลูกเขย,y
el gener,มกราคม,y
el genoll,หัวเข่า,y
el gerent,ผู้บริหารผู้ชาย,y
el germà,พี่ชาย น้องชาย,y
el germanastre,พี่ชายน้องชายต่างพ่อแม่,y
el gimnàs,ยิม,y
el gos,สุนัข,y
el got,แก้ว (พาชนะ),y
el grau,ระดับชั้น (!n),y
el grec,ภาษากรีก / คนกรีก (ช),y
el idioma,ภาษา (i),y
el infermer,บุรุษพยาบาล,y
el ingenier,วิศวกรผู้ชาย,y
el iogurt,โยเกิร์ต,y
el italià,ภาษาอิตาลี / คนอิตาลี (ช),y
el japonés,ภาษาญี่ปุ่น / คนญี่ปุ่น (ช),y
el joc,เกม,y
el judici,การพิพากษา,y
el juliol,กรกฎาคม,y
el juny,มิถุนายน,y
el jutge,ผู้พิพากษา,y
el kiwi,กีวี,y
el lavabo,ห้องน้ำ (ส้วม),y
el lector,เครื่องอ่าน ตัวอ่าน,y
el llac,ทะเลสาบ,y
el llamp,ฟ้าแลบ,y
el llanterner,ช่างประปาผู้ชาย,y
el llapis,ดินสอ,y
el llar,ที่อยู่อาศัย,y
el llavis,ริมฝีปาก,y
el llençol,ผ้าปูเตียง,y
el lleó,สิงโต,y
el llibre,หนังสือ,y
el llit,เตียง,y
el lloguer,การให้เช่า,y
el macarró,มักกะโรนี,y
el maig,พฤษภาคม,y
el mapa,แผนที่ (m),y
el març,มีนาคม,y
el mariner,กะลาสีเรือผู้ชาย,y
el marit,สามี (m),y
el martell,ค้อน,y
el matí,ตอนเช้า,y
el mecànic,ช่างเครื่องยนต์ผู้ชาย,y
el mege,แพทย์ผู้ชาย,y
el meló d'Alger,แตงโม,y
el meló de tot l'any,เมลอน,y
el menjador,โรงอาหาร,y
el menjar,อาหาร,y
el mercat,ตลาด,y
el mestre,อาจารย์ (m ผู้ชาย),y
el migdia,เที่ยงวัน,y
el miler,พัน จำนวนพัน (คำนาม),y
el militar,ทหาร (m),y
el miner,คนทำเหมืองผู้ชาย,y
el mirall,กระจก (m),y
el moble,เฟอร์นิเจอร์,y
el model,นายแบบ นางแบบ,y
el món,โลก,y
el monitor,ครูผู้ช่วย (ผู้ชาย),y
el monyo,มวยผม,y
el muntanyisme,การปีนเขา,y
el muscle,หัวไหล่,y
el músic,นักดนตรีผู้ชาย,y
el Nadal,คริสต์มาส,y
el nas,จมูก,y
el nebot,หลานชายของลุงป้าน้าอา,y
el nen,เด็กผู้ชาย (n),y
el net,หลานชายของปู่ย่าตายาย,y
el noruec,ภาษานอร์เวย์ / คนนอร์เวย์ (ช),y
el notari,พนักงานทะเบียนผู้ชาย,y
el novembre,พฤศจิกายน,y
el núvol,เมฆ,y
el pa,ขนมปัง,y
el padrastro,พ่อเลี้ยง,y
el palau,วัง,y
el pallasso,ตัวตลกผู้ชาย,y
el paper,กระดาษ,y
el paràgraf,ย่อหน้า,y
el paraigua,ร่ม,y
el paraigüer,ที่วางร่ม,y
el parament,การจัด การเตรียม,y
el parc,สวนสาธารณะ,y
el pare,พ่อ,y
<div>el passadís</div>,โถงทางเดิน,y
el pastís,ขนมเค้ก,y
el peatge,ด่านเก็บค่าทางด่วน,y
el pegament,กาว,y
el peix,ปลา,y
el pèl,เส้นผม (p),y
el peluquer,ช่างตัดผมผู้ชาย,y
el perill,อันตราย (คำนาม),y
el periòdic,หนังสือพิมพ์,y
el periodiste,นักข่าวผู้ชาย,y
el pèsol,ถั่วลันเตา,y
el petó,การหอมแก้ม,y
el peu,เท้า <sub><i>(ไม่ใช่ขา)</i></sub>,y
el pilot,นักบิน,y
el pintor,นักวาดภาพผู้ชาย,y
el pinzell,พู่กัน,y
el pis,แฟลต อพาร์ตเมนต์ (es: piso),y
el plaer,ความปิติยินดี ความเพลิดเพลิน (es: el placer),y
el planou,แผนที่ (!m),y
el plat,จาน,y
el plàtan,กล้วย,y
el plugim,ฝนอ่อย,y
el pobret,คน สิ่งที่น่าสงสาร (ชาย),y
el polític,นักการเมืองผู้ชาย,y
el polonés,ภาษาโปแลนด์ / คนโปแลนด์ (ช),y
el pom,ลูกบิดประตู,y
el porc,เนื้อหมู,y
el portugués,ภาษาโปรตุเกส / คนโปรตุเกส (ช),y
el premi,รางวัล,y
el preu,ราคา,y
el professor,อาจารย์ (p ผู้ชาย),y
el psicòleg,จิตแพทย์ (ช),y
el pulmó,ปอด,y
el pupitre,โต๊ะเขียนหนังสือ (โรงเรียน),y
el quadern,สมุด (q),y
el quart,หนึ่งในสี่,y
el rabosot,จิ้งจอก,y
el raïm,องุ่น,y
el raspall,แปรง (คำนาม),y
el ratolí,หนู เมาส์ (คอม),y
el rave,หัวไชเท้า,y
el rebedor,โถงทางเข้า ห้องรับแขก,y
el regal,ของขวัญ,y
el rellotge,นาฬิกา,y
el rentaplats,เครื่องล้างจาน,y
el renyó,ไต,y
el restaurant,ร้านอาหาร,y
el riu,แม่น้ำ,y
el rotulador,ปากกาเมจิก,y
el rovelló,เห็ดสน,y
el ruc,ลา (สัตว์ !a),y
el rumb,ทาง เส้นทาง,y
el rus,ภาษารัสเซีย / คนรัสเซีย (ช),y
el sabó,สบู่,y
el sacerdot,พระ,y
els apunts,การจดบันทึก,y
els deures,การบ้าน,y
el secretari,เลขาผู้ชาย,y
el semàfor,สัญญาณจราจร,y
el senderisme,ไฮกิง,y
el senyal,สัญญาณ,y
els Estats Units,สหรัฐอเมริกา,y
el setembre,กันยายน,y
el sofà,โซฟา,y
el sogre,พ่อตา,y
el sòl,พื้น,y
el soldat,ทหาร (s),y
el somni,ความฝัน,y
el sostre,เพดาน,y
els palets,ตะเกียบ,y
el suc,น้ำผลไม้,y
el suec,ภาษาสวีเดน / คนสวีเดน (ช),y
el suèter,สเวตเตอร์,y
el suro,จุกคอร์ก,y
el tailandés,ภาษาไทย / คนไทย (ช),y
el tamboret,เก้าอี้สูงหน้าบาร์,y
el tema,หัวข้อ,y
el tramvia,รถราง,y
el trànsit,การจราจร,y
el treball,อาชีพ (t),y
el trellat,เหตุผล,y
el tren,รถไฟ,y
el tro,ฟ้าผ่า,y
el turc,ภาษาตุรกี / คนตุรกี (ช),y
el vaixell,เรือ (!b),y
el valencià,ภาษาวาเลนเซีย / คนวาเลนเซีย (ช),y
el veí,เพื่อนบ้าน (ผู้ชาย),y
el vi,ไวน์,y
el vidre,แก้ว (วัสดุ),y
el wàter,ห้องน้ำ (w),y
el xampinyó,เห็ดแชมปิญอง,y
el ximo,ขนมปังทางกัสเตโยในงานช่วงมักดาเลนา,y
el xinés,ภาษาจีน / คนจีน (ช),y
el yayo,ปู่ ตา (y),y
empényer,ผลัก,y
endreçat,ที่สะอาด รักความเป็นระเบียบ,y
enlloc,(ไม่)ที่ไหนสักที่,y
enmig,ท่ามกลาง,y
ensucrat,ซึ่งใส่น้ำตาล,y
entelar-se,ขึ้นฝ้า,y
entremeliat,ซน ดื้อ,y
Equador,ประเทศเอกวาดอร์,y
escoltar,ฟัง,y
escriure,เขียน,y
esmorzar,ทานอาหาร(สาย) (es: almorzar),y
esquerrer,ถนัดซ้าย,y
esquiar,เล่นสกี,y
estimar,ชอบ รัก,y
estirar,ดึง,y
estret,แคบ คับ,y
estúpid,โง่,y
Europa,ทวีปยุโรป,y
fer,ทำ,y
fer l'efecte,ให้ความรู้สึก… (es: parecer),y
fer pudor,ส่งกลิ่นเหม็น,y
Filipines,ประเทศฟิลิปปินส์,y
(f.) l'abraçada,(นาม)กอด,y
(f.) l'absència,การไม่อยู่,y
(f.) l'actriu,นักแสดงผู้หญิง,y
(f.) l'adreça,ที่อยู่,y
(f.) l'advocada,ทนายความผู้หญิง,y
(f.) l'agricultora,เกษตรกรผู้หญิง,y
(f.) la història,ประวัติศาสตร์,y
(f.) la jugadora,นักเล่นกีฬาผู้หญิง (j),y
(f.) l'alcaldesa,นายกเทศมนตรีผู้หญิง,y
(f.) l'alfàbrega,กะเพรา,y
(f.) l'àlgebra,พีชคณิต,y
(f.) l'amiga,เพื่อน (ผู้หญิง),y
(f.) l'andana,ชานชาลา,y
(f.) l'assecadora,เครื่องอบผ้า,y
(f.) l'autopista,ทางหลวง,y
(f.) l'autovia,ทางด่วน,y
(f.) l'avellana,เฮเซลนัท,y
(f.) l'àvia,ย่า ยาย (a),y
(f.) l'avinguda,ถนน (a),y
(f.) l'educació física,พลศึกษา,y
(f.) l'eina,เครื่องมือ (es: herramienta),y
(f.) l'eixida,ทางออก,y
(f.) l'encisam,ผักสลัด,y
(f.) l'escola,โรงเรียน (e),y
(f.) l'escombra,ไม้กวาด (กาตาลุญญา),y
(f.) l'escriptora,นักเขียนผู้หญิง,y
(f.) l'esglèsia,โบสถ์,y
(f.) l'espiera,ตาแมว,y
(f.) l'esposa,ภรรยา (e),y
(f.) l'esquena,หลัง (อวัยวะ),y
(f.) l'esquerra,ซ้ายมือ,y
(f.) l'esquina,หัวมุม (e),y
(f.) l'estació,สถานีรถไฟ,y
(f.) l'obrera,คนงานผู้หญิง,y
(f.) l'oficina,สำนักงาน (o),y
(f.) l'oliva,มะกอก,y
(f.) l'orella,หู,y
(f) l'ovella,แกะ (สัตว์),y
fora,ด้านนอก,y
fosc,มืด,y
França,ประเทศฝรั่งเศส,y
francesa,เกี่ยวกับฝรั่งเศส (ญ),y
fregar,ถู (พื้น) [คำกริยา],y
gairebé,เกือบ,y
generós,ใจดี ใจกว้าง,y
gens de,ไม่สักนิด แม้แต่น้อย (นามนับไม่ได้),y
grega,เกี่ยวกับกรีก (ญ),y
groc,สีเหลือง,y
gros,อ้วน หนา,y
guanyar,ชนะ,y
haver,(es: haber),y
holandesa,เกี่ยวกับดัตช์ (ญ),y
incloure,รวม (es: incluir),y
infringir,ละเมิด,y
Itàlia,ประเทศอิตาลี,y
italiana,เกี่ยวกับอิตาลี (ญ),y
Japó,ประเทศญี่ปุ่น,y
japonesa,เกี่ยวกับญี่ปุ่น (ญ),y
la balança,ตาชั่ง เครื่องชังน้ำหนัก,y
la banda,ด้านข้าง (คำนาม),y
la banquera,พนักงานธนาคารผู้หญิง,y
la banya,เขาสัตว์,y
la banyera,อ่างอาบน้ำ,y
la barba,เครา,y
la barca,เรือ (!v),y
la beguda,เครื่องดื่ม,y
la bicicleta,รถจักรยาน,y
la biologia,ชีววิทยา,y
la boca,ปาก,y
la boira,หมอก,y
la bombera,นักดับเพลิงผู้หญิง,y
la bossa,กระเป๋าถือ,y
la botifarra,ไส้กรอก(เลือด),y
la botiga,ร้านค้า,y
la branca,กิ่งก้านสาขา,y
la brusa,ชุดสตรี,y
la bufanda,ผ้าพันคอ,y
la butaca,เก้าอี้นวม,y
la cadira,เก้าอี้,y
la caixera,แคชเชียร์ผู้หญิง,y
la calor,ความร้อน,y
la cama,ขา,y
la cambrera,บริกรผู้หญิง,y
la cantant,นักร้องผู้หญิง,y
la capatassa,หัวหน้าคนงานผู้หญิง,y
la cara,ใบหน้า,y
la carlota,แครอท,y
la carn,เนื้อสัตว์,y
la carnissera,คนขายเนื้อสัตว์ผู้หญิง,y
la carnisseria,ร้านขายเนื้อ,y
la carpeta,แฟ้ม,y
la cartera,พนักงานไปรษณีย์ผู้หญิง,y
la carxofa,อาร์ติโชก,y
la ceba,หัวหอม,y
la chiqueta,เด็กผู้หญิง (c),y
la ciència,วิทยาศาสตร์,y
la científica,นักวิทยาศาสตร์ผู้หญิง,y
la cigonya,นกกระสา,y
la cirera,เชอร์รี,y
la cirurgiana,ศัลยแพทย์ (ญ),y
la ciutat,เมือง,y
la classe,ชั้นเรียน,y
la clau,กุญแจ,y
la claveguera,ท่อระบายน้ำ,y
la comoditat,การอำนวยความสะดวก สิ่งอำนวยความสะดวก,y
la companya,เพื่อนร่วมชั้น เพื่อนร่วมงาน (หญิง),y
la competència,การแข่งขัน,y
la conductora,คนขับรถผู้หญิง,y
la contable,นักบัญชีผู้หญิง,y
la cortina,ผ้าม่าน,y
la cosina,ลูกพี่ลูกน้องผู้หญิง,y
la creïlla,มันฝรั่ง (!p),y
la cuina,ห้องครัว,y
la cuinera,คนทำอาหารผู้หญิง กุ๊กผู้หญิง,y
la cuixa,น่อง,y
la cullera,ช้อน,y
la cunyada,พี่สะใภ้ น้องสะใภ้,y
la data,วันที่,y
la dentista,ทันตแพทย์ผู้หญิง,y
la dependenta,ลูกจ้างผู้หญิง,y
la desfilada,ขบวนพาเรด,y
la despesa,รายจ่าย ค่าสาธารณูปโภค,y
la dona,ผู้หญิง ภรรยา,y
la dreta,ขวามือ,y
la facultat,คณะ (ในมหาวิทยาลัย),y
la faena,อาชีพ (f),y
la fam,ความหิว,y
la farmàcia,ร้านขายยา,y
la fava,ถั่วฝัก ถั่วปากอ้า,y
la fematera,คนเก็บขยะผู้หญิง,y
la festa,งานเลี้ยง วันหยุด,y
la fi,จุดสุดท้าย จุดสิ้นสุด จุดจบ,y
la filla,ลูกสาว,y
la fillastra,ลูกเลี้ยงผู้หญิง,y
la finestra,หน้าต่าง,y
la fornera,คนทำขนมปังผู้หญิง,y
la forqueta,ส้อม,y
la fotocòpia,การถ่ายเอกสาร,y
la fotògrafa,ช่างถ่ายรูปผู้หญิง,y
la frase,ประโยค,y
la fruiteria,ร้านขายผลไม้,y
la fulla,ใบไม้,y
la fusta,ไม้,y
la fustera,ช่างไม้ผู้หญิง,y
la futbolista,นักฟุตบอลผู้หญิง,y
la galeta,คุกกี้,y
la geniva,เหงือก,y
la gerent,ผู้บริหารผู้หญิง,y
la germana,พี่สาว น้องสาว,y
la germanastra,พี่สาวน้องสาวต่างพ่อแม่,y
la gerra,ไห,y
la gespa,หญ้า,y
la gimnàstica,ยิมนาสติก การออกกำลังกาย,y
la goma,ยาง,y
la granera,ไม้กวาด (วาเลนเซีย),y
la grapadora,ที่เย็บกระดาษ,y
la il·lusió,ภาพลวงตา,y
la infermera,นางพยาบาลผู้หญิง,y
la informàtica,วิชาคอมพิวเตอร์,y
la ingeniera,วิศวกรผู้หญิง,y
la làmpada,โคมไฟ,y
la llanda,กระป๋อง,y
la llanternera,ช่างประปาผู้หญิง,y
la llengua,ภาษา (ll),y
la llentilla,ถั่วเลนทิล (es: lenteja),y
la lletra,เนื้อเพลง อักษร,y
la llibreta,สมุดบันทึก (ll),y
la lliçó,บทเรียน (ll),y
la llima,มะนาว,y
la llitera,เตียงสองชั้น,y
la llum,แสง ไฟ ไฟฟ้า,y
la Lluna,ดวงจันทร์,y
l'alumne,นักเรียน (a),y
la mà,มือ,y
la madrastra,แม่เลี้ยง,y
la maduixa,สตรอว์เบอร์รี,y
la magrana,ทับทิม,y
la maquineta,กบเหลาดินสอ,y
la mare,แม่,y
la marinera,กะลาสีเรือผู้หญิง,y
la mascletà,การแสดงประทัด,y
la mecànica,ช่างเครื่องยนต์ผู้หญิง,y
la meja,แพทย์ผู้หญิง,y
la mestra,อาจารย์ (m ผู้หญิง),y
la mestressa de casa,แม่บ้าน,y
la migdiada,พักกลางวัน (เซียสตา),y
la minera,คนทำเหมืองผู้หญิง,y
la mitja,ครึ่งหนึ่ง,y
la mitjanit,เที่ยงคืน,y
la monitora,ครูผู้ช่วย (ผู้หญิง),y
la mora,แบล็กเบอร์รี,y
la motxilla,กระเป๋าสะพาย,y
la muntanya,ภูเขา,y
la música,นักดนตรีผู้หญิง,y
la neboda,หลานสาวของลุงป้าน้าอา,y
la nena,เด็กผู้หญิง (n),y
la neta,หลานสาวของปู่ย่าตายาย,y
la neteja,การทำความสะอาด (คำนาม),y
la neu,หิมะ,y
la nit,ตอนกลางคืน,y
la nora,ลูกสะใภ้,y
la nòria,กังหัน,y
la nota,โน๊ต คะแนน,y
la notària,พนักงานทะเบียนผู้หญิง,y
la novel·la,นิยาย,y
la pàgina,หน้า (es: la página),y
la palanca,คาน คันโยก,y
la pallassa,ตัวตลกผู้หญิง,y
la papallona,ผีเสื้อ (กาตาลุญญา),y
la paperera,ถังขยะ,y
la papereria,ร้านขายเครื่องเขียน,y
la paraula,คำ,y
la paret,กำแพง (!m),y
la pastisseria,ร้านขนมเค้ก,y
la pebrera,พริกหยวก,y
la pedra,หิน ลูกเห็บ,y
la peixateria,ร้านขายปลา,y
la pell,ผิวหนัง,y
la pel·lícula,ภาพยนตร์,y
la peluquera,ช่างตัดผมผู้หญิง,y
la pera,ลูกแพร,y
la periodista,นักข่าวผู้หญิง,y
la perseverança,การทำเป็นประจำ,y
la perxa,ไม้แขวนเสื้อ,y
la pinta,หวี (คำนาม),y
la pintora,นักวาดภาพผู้หญิง,y
la pintura,ภาพวาด,y
la pinya,สับปะรด,y
la pissarra,กระดานดำ,y
la plaça,ลานกว้าง พลาซา,y
la planxa,เตารีด,y
la platja,ชายหาด,y
la pluja,ฝน (คำนาม),y
la pobreta,คน สิ่งที่น่าสงสาร (หญิง),y
la política,นักการเมืองผู้หญิง,y
la pols,ฝุ่น,y
la poma,แอปเปิล,y
la por,ความกลัว,y
la porta,ประตู,y
la prestatgeria,ชั้นหนังสือ,y
la primavera,ฤดูใบไม้ผลิ,y
la professora,อาจารย์ (p ผู้หญิง),y
la pruna,ลูกพรุน,y
la psicòloga,จิตแพทย์ (ญ),y
la pudor,กลิ่นเหม็น,y
la química,วิชาเคมี,y
la ràdio,วิทยุ,y
la rasqueta,คราด,y
la remolatxa,บีตรูต,y
la rentadora,เครื่องซักผ้า,y
la resposta,คำตอบ,y
la reunió,การรวมตัว การประชุม,y
la roba,เสื้อผ้า,y
la rosada,เหมย,y
la sala menjador,ห้องรับประทานอาหาร,y
la samarreta,เสื้อยืด,y
la sang,เลือด,y
la secretaria,เลขาผู้หญิง,y
la sèrie,ซีรีส์,y
la set,ความกระหายน้ำ,y
la síndria,แตงโม (กาตาลุญญา),y
la sogra,แม่ยาย,y
la solitud,ความโสด ความเหงา,y
la sòn,ความง่วง,y
la sort,โชค,y
la taca,ลาย รอยจุด (es: la mancha),y
la tardor,ฤดูใบไม้ร่วง,y
la tasca,งาน สิ่งที่ต้องทำ (ชิ้นงาน),y
la taula,โต๊ะ,y
la tauleta de nit,โต๊ะข้างเตียง,y
la televisió,โทรทัศน์,y
la tempesta,พายุ (es: tormenta),y
la terrassa,ระเบียง ชานบ้าน (t),y
la tesi,วิทยานิพนธ์,y
la tia,ป้า น้าอาผู้หญิง,y
la tomaca,มะเขือเทศ,y
la torrada,ขนมปังปิ้ง,y
la tortuga,เต่า,y
la tovallola,ผ้าเช็ดตัว,y
la trobada,การพบเจอ,y
la truita,ตอร์ติยา,y
la unitat,ความเป็นหนึ่งเดียว ความสามัคคี,y
la universitat,มหาวิทยาลัย,y
la vacança,การพักร้อน,y
la veïna,เพื่อนบ้าน (ผู้หญิง),y
la vesprada,ตอนบ่าย,y
la xarxa,เครือข่าย,y
la yaya,ย่า ยาย (y),y
les ceres,สีเทียน,y
les ciències naturals,วิทยาศาสตร์ธรรมชาติ,y
les llengües,วิชาภาษา,y
les matemàtiques,คณิตศาสตร์,y
les sabates,รองเท้า,y
les sandàlies,รองเท้าแตะ (สำหรับใส่ออกไปข้างนอก),y
les tisores,กรรไกร,y
l'estudiant,นักเรียน (e),y
les ulleres,แว่นตา เลนส์,y
l'holandés,ภาษาดัตช์ / คนดัตช์ (ช),y
Líbia,ประเทศลิเบีย,y
llarg,ยาว,y
llavar,ล้าง,y
llegir,อ่าน,y
lleig,น่าเกลียด อัปลักษณ์,y
