tailandés,valencià,หมายเหตุ
ได้โปรดบอก(มัน(ช)ให้แก่)ฉัน,"Digue-me'l, si us plau.",- !(per favor)
(พวกเธอ)ไปบอกเขาให้หน่อยว่าพรุ่งนี้ฉันไม่มาทำงาน,Digueu-li que demà no vinc a treballar.,
"ภาย<span style=""color: var(--field-fg); background: var(--field-bg);"">ในกล่องใบใหญ่นี้ฉันได้เอารางวัลขนาดใหญ่มาให้เธอ</span>",Dins aquesta caixa grossa hi porte un gran premi per a tu.,
ดวงอาทิตย์ขึ้นในตอนเช้า และตกในตอนกลางคืนช่วงพอดีกับที่ดวงจันทร์ปรากฏ,"El Sol ix al matí i es pon a la nit, just quan la Lluna apareix.",
โรงเรียนเปิดในเดือนกันยายน,El col·legi comença al setembre.,
สิงโตได้หัวเราะอยากหนักกับเรื่องราวแปลก ๆ ที่เต่าสีฟ้าเล่าให้ฟัง,El lleó ha rigut tant de les coses estranyes que diu la tortuga blava.,
ระดับไม่สูงมาก,El nivell no és gaire alt.,
นกเพนกวินมองดูก้อนหินสีเทาก้อนหนึ่ง,El pingüí veu una pedra grisa.,
อพาร์ตเมนต์ใหม่ และ<b><u>มี</u></b>แสงสว่างมาก,El pis és nou i hi ha molta llum.,
สิ่งที่พวกเขาชอบมากที่สุดคือการเล่าและแต่งนิทานและเรื่องราวประวัติศาสตร์,El que més els agrada és explicar i escriure contes i històries.,
ลาไม่ค่อยมีความฉลาดเท่าไหร่ แต่มันก็ทำงานหนัก,"El ruc no té gaire intel·ligència, però treballa molt.",
สัญญาณวิทยุจากทางใต้มาถึงได้แรง,El senyal de la ràdio del sud arriba fort.,
ความปรารถนาของเขาคือการที่ได้เห็นน้องสาวของเขาอยู่ในอารมณ์ที่ดี,El seu desig és veure la seua germana de bon humor.,
มัน(ช)อยู่ด้านข้างเธอ,El tens a la teua banda.,
รถไฟออกเวลา 13:30,El tren ix a l'una i mitja de la vesprada.,
เรือ(!b)มีความจุไม่เพียงพอ,El vaixell no té prou capacitat.,
เสื้อ(v)ใหญ่เกินไป,El vestit és massa gran.,
เขาไม่เคยเห็นพ่อแม่เขาโกรธมากขนาดนี้มาก่อน และเขากลัวมาก,"Ell no havia vist mai els seus pares tan enfadats, i tenia molta por.",- pretèrit imperfet
เขามีศีรษะที่ใหญ่,Ell té un cap gran.,
เธอ(๓)วิ่งไปทางตู้เย็น เพราะว่าเธอหิวน้ำและอยากกินน้ำเย็น,"Ella corre cap a la nevera, perquè té set i vol beure aigua fresca.",
พวกเธอ(๓)อาบน้ำ(b)ทุกวันก่อนที่จะไป<b><u>นอน</u></b>,Elles es banyen tots els dies abans d'anar a dormir.,- นอนไม่ใช่เตียง
พวกเขามอง(!v)ขึ้นไปบนฟ้า,Ells miren cap al cel.,
หมามีสีขาว,Els gossos són blancs.,พหูพจน์
พ่อแม่ของฉันได้ขับรถจนถึงที่บ้าน,Els meus pares han conduït fins a casa.,
พ่อแม่ฉันไม่ได้ทำกับข้าวอะไรเลย,Els meus pares no han cuinat res.,
นก(พหู)มีสีแดง(!r),Els ocells són vermells.,
เหล่าเป็นไม่ว่ายน้ำในเดือนกุมภาพันธ์,Els ànecs no neden al febrer.,
ฉันมีความรู้สึกว่าไม่มีความจำเป็นที่จะต้องทำมัน,Em fa l'efecte que no hi ha necessitat de fer-ho.,
ฉันแปรงฟัน อาบน้ำ แต่งตัว หวีผม หลังจากนั้นฉันใส่รองเท้าแล้วก็ออกจากบ้าน,"Em rente les dents, em dutxe, em vist, em pentine. A continuació em pose les sabates i isc de casa.",
Tom และ Laia เป็นลูกพี่ลูกน้อง ในทุก ๆ หน้าร้อนพวกเขาจะไปพักร้อนด้วยกันและมีช่วงเวลาที่ดีมาก,En Tom i la Laia són cosins. Cada estiu van de vacances junts i s'ho passen molt bé.,
Tom พูดภาษาอังกฤษและกำลังเรียนภาษากาตาลัน,En Tom parla anglés i està aprenent català.,
ในคอร์สนี้มีหลาย(t)บทเรียน,En aquest curs hi ha tantes lliçons.,
ที่ถนนแห่งนี้ทุกครั้งการจราจรยิ่งหนาแน่นขึ้นเรื่อย ๆ,En aquesta carretera cada vegada hi ha més i més trànsit.,
ในกรณีฉุกเฉิน ให้ดึงคันโยกของอุปกรณ์แจ้งเตือนภัย,"En cas d'emergència, tireu de la palanca de l'aparell d'alarma.",vosaltres
ในช่วงที่เขาไม่อยู่ฉันเห็นอะไรแย่ ๆ,En la seua absència hi veig una cosa dolenta.,
ในช่วงที่เธอไม่อยู่ฉันได้อ่านบทที่สาม,En la teua absència faig la lectura del capítol tercer.,
พวกเราชอบว่ายน้ำในสระว่ายน้ำของ<u>โรงยิม</u>,Ens agrada nadar a la piscina del gimnàs.,
เราโดนตำรวจให้หยุดที่ด่านตรวจ,Ens aturen en un control de policia.,
พวกเรามีความรู้สึกว่างานเลี้ยงนั้นประสบความสำเร็จ,Ens fa l'efecte que la festa va ser un èxit.,
พวกเราไปชายหาดในวันหยุดพักร้อน,Ens n'anem a la platja de vacances.,
พวกเราหลงทาง,Estem perduts.,
ฉันสบายดีมาก แล้วคุณล่ะ,"Estic molt bé, i tu?",tu
ฉันหลงทาง,Estic perdut.,
พวกเราเรียนวิชาพีชคณิต,Estudiem l'àlgebra.,
ฉันจะแนะนำพี่น้องของฉันให้รู้จัก,Et presente els meus germans.,→ tu / พี่น้องเป็นพหูพจน์
ในฤดูหนาวอากาศหนาวมาก,Fa molt de fred a l'hivern.,
อากาศร้อนมากในฤดูร้อน,Fa molta calor a l'estiu.,
มีลมพัดในเดือนมีนาคม,Fa vent al març.,
อีกไกลไหมกว่าจะถึงบ้าน,Falta molt per a arrivar a casa?,
แล้วพบกันใหม่,Fins desprès,
พบกันไว ๆ นี้,Fins prompte.,
ฝนได้ตกหนัก,Ha plogut molt.,
พวกเราได้ไปโรงพยาบาลด้วยรถยนต์,Hem anat a l'hospital en cotxe.,
(es: Hemos querido verlas),Hem volgut veure-les.,
มีหมอก,Hi ha boira.,
มีเศษกระดาษสีสันอยู่ด้านนอกถังขยะ,Hi ha confeti fora de la paperera.,
มีหมวกอยู่สองใบอยู่ด้านบน(d)<b><i><u>จอ</u></i></b>คอมพิวเตอร์,Hi ha dos barrets damunt de la pantalla de l'ordinador.,
มีหนูสองตัวอยู่นอกบ้าน,Hi ha dos ratolins fora de la casa.,
มีหนังสือ(พหู)อยู่บน(d)โต๊ะ,Hi ha llibres damunt de la taula.,
มีดอกไม้หลายดอกหลากสีสันในฤดูใบไม้ผลิ,Hi ha moltes flors acolorides a la primavera.,
มีกระดาษสี่แผ่นอยู่ด้านใต้(s)ถังขยะ,Hi ha quatre papers sota de la paperera.,
มีเสื้อผ้า(เอก)อยู่<b><u>ด้านใน</u></b>ตู้เสื้อผ้า,Hi ha roba dins de l'armari.,
มีสามเตียงอยู่ในห้องนอน,Hi ha tres llits al dormitori.,
มีกระจกหนึ่งบานอยู่ในห้องโถงรับแขก,Hi ha un espill al rebedor.,- กระจก: e
มีหนูหนึ่งตัวอยู่ในห้องนอนด้านบน(d)เตียง,Hi ha un ratolí al dormitori damunt del llit.,
มีเด็กผมสีทองอยู่ด้านข้างเด็กผมสีน้ำตาล,Hi ha un xiquet ros al costat del xiquet castany.,
มีกระเป๋าถืออยู่ใต้(d)โต๊ะ,Hi ha una bossa davall la taula.,
ขอโทษ,Ho sent.,
Ivan เกิดในฤดูใบไม้ผลิ ช่วงปลายเดือนเมษายน และ Joan ช่วงกลางเดือนมิถุนายน,"Ivan va nàixer a la primavera, a finals d'abril i Joan a mitjan juny.",
เราอยู่ใกล้แล้ว (เราใกล้จะถึงแล้ว),Ja hi estem prop.,
แมงมุมอยู่ด้านหลังพวกเธอ,L'aranya és darrere vostre.,
ช้างกลัวหนู,L'elefant té por del ratolí.,
สถานีรถไฟอยู่ไกลจากมหาวิทยาลัย,L'estació està lluny de l'universitat.,
ฉันได้รู้จักเขาเมื่อเช้านี้,L'he conegut aquest matí.,
นกหลับอยู่บนกิ่งของต้นไม้,L'ocell dorm a la branca de l'arbre.,
แกะมีสีขาว,L'ovella és blanca.,เอกพจน์
เป็ดสีเหลืองเป็นเพื่อนร่วมชั้นเรียนกับเต่าสีฟ้า,L'ànec groc és company de classe de la tortuga blava.,
ใบไม้มีสีเขียว,La fulla és verda.,เอกพจน์
ผู้คนสามารถเล่น ทำงาน และทำสิ่งต่าง ๆ ในระหว่างกลางวัน และพอถึงตอนกลางคืนดวงจันทร์ขึ้นแล้วทุกคนก็ไปนอนเพื่อพักผ่อนและเริ่มต้นวันใหม่ด้วยพลังงานที่เต็มเปี่ยมและอารมณ์ที่แจ่มใส,"La gent pot jugar, treballar i fer coses durant el dia, i quan a la nit ix la Lluna, tothom se'n va a dormir per descansar i començar el nou dia plens d'energia i bon humor.",
แม่ของ Tom และ พ่อของ Laia เป็นพี่น้องกัน,La mare del Tom i el pare de la Laia són germans.,
อาจารย์(ญm)อยากให้นักเรียนพูดคำตอบ,La mestra vol que els estudiants diguin la resposta.,
บ้านฉันอยู่ใกล้สถานีรถไฟ,La meua casa està a prop de l'estació.,
เสื้อแจ็กเก็ตของฉันเล็กกว่าของเธอ,La meua jaqueta és més xicoteta que la teua.,
งานใหม่นี้ต้องการสติปัญญามากขึ้น,La nova tasca necessita més intel·ligència.,
ตำรวจไม่มีทางรู้เลยว่าเกิดอะไรขึ้น,La policia mai va descovrir el que havia passat.,- passat<br>- ไม่ค้นพบสิ่งที่ได้เกิดขึ้น
อาจารย์(ญ)อยู่ด้านหลังโต๊ะ ด้านหน้ากระดานดำ,"La professora està darrere de la taula, davant de la pissarra.",
ปากของเขาเล็ก,La seua boca és xicoteta.,
บ้านของเขาอยู่ด้านข้างร้านค้า,La seua casa està al costat de la botiga.,
ฤดูใบไม้ร่วงเป็นฤดูที่ฉันชอบ,La tardor és la meua estació preferida.,
เต่าอยู่ข้างเป็ด,La tortuga és al costat de l'ànec.,
เหล่าจิตแพทย์(ญ)นั้นประหม่าเวลาทำงานกับคนที่ยาก,Les psicòlogues estan nervioses quan treballen amb gent difícil.,
เขาชอบฟังเพลง,Li agrada escoltar música.,
เขาชอบเพลงประเภทไหนก็ได้,Li agrada la música de qualsevol tipus.,
ฉันชอบกินอาหารเช้าที่ร้านกาแฟ,M'agrada desdejunar-me al café.,
ฉันชอบปากกาที่ฉันใช้เขียน,M'agrada el bolígraf amb què escric.,
ฉันตื่น(d)เช้า,M'he despertat aviat.,- perfect
(ฉัน)ไปละ,Me'n vaig.,
ช่วงระหว่างที่อาจารย์ไม่อยู่เนื่องจากปัญหาทางกฎหมาย จึงไม่มีคาบเรียน,"Mentre continua l'absència del mestre per un problema legal, no hi ha classe.",
งานวิจัยหลายชิ้นไม่ไปไหนเลยสักที่,Moltes investigacions no van a enlloc.,
มีสี่อัน,N'hi ha quatre.,
หิมะตก,Neva.,
ไม่จำเป็นต้องเปิดไฟ,No cal encendre les llums.,
ฉันไม่อยากใส่เสื้อสเวตเตอร์(!s)ตัวนี้เลย,No em vull posar aquest jersei.,
ห้ามเข้าหรือออกจากขบวนรถขณะได้ยินเสียงสัญญาณ,No entre ni isca del tren quan senta el senyal acústic.,- เสียงสัญญาณ - el senyal acústic
ไม่สามารถโดยสารกับสัตว์เลี้ยง ยกเว้นสุนัขนำทางผู้พิการ,No es pot viatjar amb animals a excepció dels gossos pigall.,สุนัขนำทาง - pigall
ห้ามเข้าไปในโรงอาหารนะ,No has d'entrar al menjador.,
ฉันไม่ได้เอากุญแจบ้านมา,No he agafat les claus de casa.,
ฉัน<i><u><b>ไม่เคย</b></u></i>รู้จักใครที่เหมือนเธอมาก่อนเลย,No he conegut mai ningú com tu.,
ฉันยังไม่ได้ทำการบ้านเลย,No he fet els deures.,
ฉันไม่ได้ทำอะไรเลย,No he fet res.,
ไม่มีปัญหาใด ๆ,No hi ha cap problema.,
ฉันไม่รู้,No ho sé.,
เราหามัน(ญ)ไม่เจอเลยสักที่,No la trobem enlloc.,
ฉันไม่อยากใส่มัน(เสื้อผ้า-ช)เลย,No me'l vull posar.,- เอากรรมไว้ข้างหน้า
ไม่มีเลย (นับได้),No n'hi ha cap.,
ไม่มีเลย (นับไม่ได้),No n'hi ha gens.,
ฉันไม่สามารถทนกลิ่นเหม็นนี้ได้อีกต่อไปแล้ว,No puc aguantar més aquesta pudor.,
ฉันไม่แน่ใจว่าจะทำแบบฝึกหัดข้อนี้อย่างไร,No tinc clar com fer aquest exercici.,
ฉันไม่เห็นว่าเกิดอะไรขึ้น,No vaig veure el que va passar.,- passat
โดยปกติแล้ว จะเอาผ้าคลุมเตียงไว้ด้านบน(d)ผ้าปูเตียง,"Normalment, el cobrellit es posa damunt del llençol.",
พวกเราไปในทางทิศเหนือ มุ่งหน้าหาความหนาวเย็น,"Nosaltres anem en direcció al nord, cap al fred.","- amb paraula ""direcció"""
ปู่ย่าตายายของ<b><i><u>พวกเธอ</u></i></b>เคยอาศัยอยู่ที่ไหน,On havien viscut els vostres avis?,
พวกคุณอาศัยอยู่ที่ไหน,On viviu?,vosaltres
พวกเราพูดภาษาบาเลนเซีย แต่ก็พูดภาษาสเปนด้วย,"Parlem valencià, però parlem també castellà.",
ในเดือนพฤษภาคมฉันฉลองวันเกิดของฉัน,Pel maig celebre el meu aniversari.,
ตอนเช้า เจ็ดโมงสิบห้า ฉันทานอาหารเช้า,Pel matí a les set i quart em desdejune.,
ทางด้านของสิ่งอำนวยความสะดวก อพาร์ตเมนต์(นี้)มีเครื่องปรับอากาศและฮีตเตอร์ ไม่มีสวน,Pel que fa a les comoditats: el pis té aire condicionat i calefacció. No hi ha jardí.,
ฝนตกหนักในเดือนเมษายน,Plou molt a l'abril.,
พูดช้าลงกว่านี้ได้ไหม,"Pot parlar més lentament, per favor?",vosté
คาบเรียนนานกี่ชั่วโมง,Quant dura la classe?,
คุณอายุเท่าไหร่,Quants anys tens?,tu
อาชีพ(t)ในฝัน(พหู)ของคุณคืออะไร,Quin és el treball dels teus somnis?,
อาชีพของคุณคืออะไร,Quina faena tens?,faena
กี่โมงแล้ว,Quina hora és?,ถามด้วย ser
วันนี้วันที่เท่าไหร่,Quina és la data d'avui?,
ที่อยู่อีเมลของคุณคืออะไร,Quina és la teua adreça electrònica?,
เธอมักจะทำอะไรในช่วงฤดูร้อนหรอ,Què acostumes a fer a l'estiu?,- มัก a
คุณทำอาชีพอะไร,Què fas de treball?,fer + treball
เธอทำอะไรในช่วงเช้า,Què fas pel matí?,
มีอะไรอยู่ด้านหลังน่ะ,Què hi ha darrere?,
เขาเขียนด้วย<b><u>มือซ้าย</u></b>เสมอ,Sempre escriu amb l'esquerra.,<b><i><u>ไม่ใช่ขวา</u></i></b>
ถ้าเธอสามารถอธิบายมัน(ช)ได้ มันก็ไม่ใช้ปัญหาแล้ว,"Si el pots explicar, ja no és un problema.",
ถ้าฉันเรียนได้มากพอ ฉันสามารถจบหลักสูตรกาตาลันได้,"Si estudie prou, puc treure'm el títol de català.",
ถ้าพวกเธอมีปัญหาอะไร ต้องถามฉันเท่านั้น,"Si teniu cap problema, només heu de preguntar-me.",
ฉันมักจะไปสกีในช่วงฤดูหนาว,Solc anar a fer esquí a l'hivern.,- มัก s
ฉันมักจะกินข้าวเย็นตอนสามทุ่ม,Solc sopar a les nou.,- มัก s
เวลา 05:45,Són les sis menys quart del matí.,
เธอชอบดูโทรทัศน์ไหม,T'agrada veure la televisió?,
ฉันสามารถอธิบายมันให้เธอฟังได้ก้วยการยกตัวอย่าง,T'ho puc explicar amb un exemple.,
"กี่โมงแล้ว ",Tens hora?,ถามด้วย tindre + tu
ฉันมีดวงตาสีน้ำตาล,Tinc els ulls castanys.,
ฉันอิ่ม (ท้องฉันอิ่ม),Tinc l'estómac ple.,
ทุกอย่างเป็นไปเหมือนทุกครั้ง โดยไม่ค่อยมีการเปลี่ยนแปลงมากนัก,"Tot va com sempre, sense gaires canvis.",
ทุกวัน ยกเว้นเสาร์อาทิตย์ ฉันตื่นนอนตอนเจ็ดโมงเช้า,Tots els dies excepte els caps de setmana em desperte a les set del matí.,
เธอเข้าไปก่อนเลย เดี๋ยวฉัน<u>จะ</u>ตามเข้าไปทีหลัง,Tu entra primer i jo entraré darrere.,tu
(เขา)อายุเกือบ 30 ปี,Té prop de treinta anys.,
พวกเธอชอบไวน์ของร้านอาหารนี้ไหม,Us agraden els vins d'aquest restaurant?,
พวกเธอ<b><u>จะ</u></b>ใช้ห้องครัวบ่อยไหม,Utilitzareu molt la cuina?,
ฉันจะกินข้าวเที่ยง,Vaig a dinar.,
ฉันได้ยินเสียงน้องชายร้องไห้,Vaig sentir al germà plorant.,- passat
ฉันอาศัยอยู่ที่นิวยอร์ก,Visc a Nova York.,
พวกเธอชั่งน้ำหนักทุกวันหลังจากอาบน้ำ(d)หรือไม่,Vosaltres us peseu cada dia després de dutxar-vos?,- แต่ละวัน
คุณช่วยฉันยกกระเป๋า<sub>(เอก)</sub>หน่อยได้ไหม,Vosté pot ajudar-me amb l'equipatge?,vosté
พูดซ้ำอีกครั้งได้ไหม,Vosté pot repetir?,vosté
ฉันอยากอธิบายวิธีบวกเลขให้ลูก ๆ ของฉัน,Vull explicar als meus fills com sumar.,
เป็นธรรมเนียมโลกตะวันตกที่จะทักทายกันด้วยมือขวา,És costum del món occidental saludar-se amb la dreta.,
นี่คือเส้นทางที่เราต้องการ,És el rumb que ens cal.,
เวลาตีหนึ่ง,És l'una del matí.,
บ่ายโมงตรง,És l'una en punt.,
เป็นแม่น้ำที่แห้งเหือด ไม่มีน้ำแม้แต่หนึ่งหยด,És un riu sec. No hi ha gens d'aigua.,
เป็นห้องเรียนห้องหนึ่งที่มืด ไม่มีหน้าต่างแม้แต่บานเดียว,És una aula fosca. No hi ha cap finestra.,
มันเป็นวัวสีขาวที่เต็มไปด้วยลายจุดสีดำ,És una vaca blanca plena de taques negres.,
