日本語,日本語の読み方,タイ語,Add Reverse
もがく,,ดิ้นรน กระเสือกกระสน,y
もぐら,,ตัวตุ่น,y
ものもらい,,ตากุ้งยิง (和語),y
ラバ,,ล่อ (สัตว์),y
ラバーカップ,,ที่ดูดส้วม,y
リューズ,,เม็ดมะยม (นาฬิกา),y
ワイパー,,ที่ปัดน้ำฝน,y
一世を風靡する,いちよをふうびする,มีอิทธิพลต่อผู้คนส่วนมาก,y
一喜一憂,いっきいちゆう,（四字熟語） เดี๋ยวดีใจเดี๋ยวเสียใจ อารมณ์ผันแปรไปตามสถานการณ์,y
一心不乱,いっしんふらん,（四字熟語） จิตใจจดจ่อแน่วแน่ไม่วอกแวก,y
一意専心,いちいせんしん,（四字熟語） น้ำหนึ่งใจเดียว สามัคคีคือพลัง,y
一長一短,いっちょういったん,（四字熟語） มีทั้งด้านดีและด้านไม่ดี มีทั้งข้อดีและข้อเสีย,y
万事,ばんじ,ทุกเรื่อง ทุกอย่าง,
万国博覧会,ばんこくはくらんかい,การแสดงนิทรรศการนานาชาติ,y
上告,じょうこく,การยื่นฎีกา,y
下請け,したうけ,การรับงานต่อจากคนอื่น การทำงานต่อจากคนอื่น,y
不信任決議,ふしんにんけつぎ,การอภิปรายไม่ไว้วางใจ,y
不均衡,ふきんこう,การขาดดุล,y
不時着,ふじちゃく,การลงจอดฉุกเฉิน,y
不朽,ふきゅう,ไม่เสื่อมสลาย ยังคงอยู่,
不毛,ふもう,ไม่ได้ผล ไม่เกิดประโยชน์,
不測,ふそく,ไม่สามารถคาดการณ์ได้ ไม่คาดคิด ไม่คาดฝัน,y
不滅,ふめつ,ไม่เสื่อมสลาย,y
不祥事,ふしょうじ,เรื่องไม่พึงประสงค์ เรื่องที่ไม่เป็นมงคล,y
不随,ふずい,อัมพาต,y
与党,よとう,พรรคร่วมรัฐบาล,y
世界保健機関,せかいほけんきかん,องค์การอนามัยโลก,y
世論,よろん,ประชาพิจารณ์,y
両生類,りょうせいるい,สัตว์ครึ่งบกครึ่งน้ำ,y
中性子,ちゅうせいし,นิวตรอน,y
中毒,ちゅうどく,ติด~ เสพติด,y
中肉中背,ちゅうにくちゅうぜい,（四字熟語）  รูปร่างและส่วนสูงอยู่ในมาตรฐานทั่วไป,y
丸括弧,まるかっこ,วงเล็บธรรมดา,y
主催者,しゅさいしゃ,เจ้าภาพ โฮสต์(งาน),y
主従,しゅじゅう,นายและบ่าว เจ้านายและลูกน้อง,y
主権,しゅけん,อำนาจอธิปไตย,y
乖離,かいり,แปลก แตกแยก,
亀甲,きっこう,กระดองเต่า,y
亀甲括弧,きっこうかっこ,วงเล็บกระดองเต่า,y
事勿れ主義,ことなかれしゅぎ,หลักปลอดภัยไว้ก่อน ท่าที่ที่หลีกเลี่ยงความขัดแย้งหรือการปะทะ,y
事柄,ことがら,เรื่องราว,
事項,じこう,หัวข้อ,
二律背反,にりつはいはん,（四字熟語） ขัดแย้งกันเอง เรื่องที่ขัดแย้งกัน,y
互恵,ごけい,ซึ่งกันและกัน ความสัมพันธ์ที่เป็นพันธมิตรระหว่างประเทศ,y
些細,ささい,เล็กน้อย ไม่สำคัญ,y
亜鉛,あえん,สังกะสี,y
享受,きょうじゅ,การรับเอา การเพลิดเพลินกับสิ่งนั้น ๆ,
人権侵害,じんけんしんがい,การละเมิดสิทธิมนุษยชน,y
人狼,じんろう,มนุษย์หมาป่า,y
人相学,にんそうがく,การดูโหงวเฮ้งของใบหน้า,y
仁義,じんぎ,คุณธรรม ศีลธรรม,y
付属,ふぞく,ในสังกัด ในการควบคุม,y
付録,ふろく,ภาคผนวก ของแถม,y
以心伝心,いしんでんしん,（四字熟語） ใช้ใจสื่อถึงกัน,y
仰ぐ,あおぐ,เคารพ,
仲介,ちゅうかい,คนกลาง ตัวกลาง,y
伏せる,ふせる,หมอบ(ไพ่),y
会心,かいしん,ได้ตามใจหวัง สมดังใจหวัง,y
伝導体,でんどうたい,ตัวนำ(ไฟฟ้า/ความร้อน),y
伝搬,でんぱん,การถ่ายทอด การกระจาย การส่งสัญญาณ,y
低俗,ていぞく,ชั้นต่ำ ต่ำทราม สถุล,y
低迷,ていめい,การตกต่ำ,y
体積,たいせき,ปริมาตร,y
体系,たいけい,ระบบ,
体裁,ていさい,รูปลักษณ์ภายนอก หน้าตาในสังคม,y
併合,へいごう,การรวมบริษัท การยึดดินแดนของประเทศ,y
促す,うながす,กระตุ้น เสนอแนะ บีบให้กระทำ,y
促進,そくしん,สนับสนุน ส่งเสริม ผลักดัน (!推),y
保護,ほご,การอนุรักษ์ การรักษา การคุ้มครอง,y
信楽焼き,しがらきやき,เครื่องเผา (รูปปั้นทานูกิ),y
修める,おさめる,เล่าเรียน ฝึกฝน ขัดเกลาตนเอง ปรับปรุงตัว,y
俵,たわら,กระสอบ,y
値渡し,あたいわたし,(en: passed by value),y
倦怠感,けんたいかん,อาการอ่อนแรง,y
偏見,へんけん,ลำเอียง อคติ,y
健全,けんぜん,แข็งแรง สมบูรณ์,
健闘,けんとう,การต่อสู้อย่างเต็มกำลังและความสามารถ,y
偵察,ていさつ,สายลับ สอดแนม,y
傍受,ぼうじゅ,การดักฟังสัญญาณ,y
傑作,けっさく,ผลงานชิ้นเอก,y
傘寿,さんじゅ,วันเกิดปีที่ 80,y
傲慢,ごうまん,หยิ่ง,y
儚い,はかない,ไร้สาระ,
元素,げんそ,ธาตุ,y
元素記号,げんそきごう,สัญลักษณ์ธาตุ,y
兆し,きざし,ลางสังหรณ์,y
兆候,ちょうこう,แนวโน้ม ลาง แวว สัญญาณ,y
光子,こうし,โฟตอน,y
全盛,ぜんせい,ช่วงพีค ช่วงถึงขีดสุด,y
公にする,おおやけにする,เปิดเผย ประกาศให้ทราบโดยทั่วกัน,y
公平無私,こうへいむし,（四字熟語） อุเบกขา ความเป็นกลาง ความยุติธรรมไม่ลำเอียง,y
公明正大,こうめいせいだい,（四字熟語） ยุติธรรม โปร่งใส ไม่มีอะไรแอบแฝง,y
公金横領,こうきんおうりょう,ฉ้อราษฎร์บังหลวง,y
共存共栄,きょうぞんきょうえい,（四字熟語） การพึ่งพาอาศัยกัน การเจริญเติบโตไปด้วยกัน,y
典型的,てんけいてき,อย่างเป็นแบบแผน อย่างเป็นมาตรฐาน,y
内訳,うちわけ,การแจกแจงบัญชี การแจกแจงรายการ,y
円満,えんまん,ความปรองดอง เป็นไปด้วยดี,y
再三,さいさん,ครั้งแล้วครั้งเล่า,y
冒頭,ぼうとう,ตอนเริ่ม ตอนต้น คำนำ ด้านหัว ด้านบน,
最高裁判所,さいこうさいばんしょ,ศาลฎีกา,y
冥王星,めいおうせい,ดาวพลูโต,y
冴える,さえる,สุกสกาว หายง่วง แจ่มใส ฉายแวว,
凌ぐ,しのぐ,อดทน ฝ่าฟัน,y
凝る,こる,แข็ง ยึด ตรึง เกร็ง,y
凝視,ぎょうし,การจับตาดู การจ้องมองดู,
几帳面,きちょうめん,พิถีพิถัน ละเอียดถี่ถ้วน เจ้าระเบียบ,y
凧,たこ,ว่าว,y
凧を揚げる,たこをあげる,ชักว่าว(ขึ้นท้องฟ้า),y
出る杭は打たれる,でるくいはうたれる,อย่าทำตัวเด่นจะเป็นภัย,y
出処進退,しゅっしょしんたい,（四字熟語） การตัดสินใจว่าจะไปต่อหรือพอแค่นี้,y
出資,しゅっし,การลงทุน,
出馬,しゅつば,การสมัครรับเลือกตั้ง,y
分かち合う,わかちあう,แบ่งปันกัน,
分子,ぶんし,เศษของเศษส่วน โมเลกุล,y
分岐器,ぶんきき,ประแจ (รถไฟ),y
分数,ぶんすう,เศษส่วน,y
分母,ぶんぼ,ส่วนของเศษส่วน,y
刑事裁判所,けいじさいばんしょ,ศาลอาญา,y
列挙型,れっきょがた,อีนูเมอเรชัน,y
利己,りこ,ผลประโยชน์ส่วนตัว ความเห็นส่วนตัว,
利益,りえき,กำไร ผลประโยชน์,y
制御,せいぎょ,การควบคุม การจัดการ,
制裁,せいさい,ลงโทษ,
刺股,さすまた,ไม้ยาว ๆ มีง่ามโค้งตรงปลายสำหรับล็อกคน,y
前立腺,ぜんりつせん,ต่อมลูกหมาก,y
剥奪,はくだつ,การตัดสิทธิ การลิดรอน การปลดจากตำแหน่ง,y
割愛,かつあい,ตัดใจ,y
創刊号,そうかんごう,(หนังสือ/นิตยสาร) เล่มแรก เล่มเปิดตัว เล่มปฐมฤกษ์,y
創意,そうい,ความคิดสร้างสรรค์,y
創意工夫,そういくふう,（四字熟語） การหาวิธี การใช้ความคิดสร้างสรรค์ในการประยุกต์,y
創設,そうせつ,สถาปนา,y
功罪,こうざい,คุณและโทษ,
劣等,れっとう,ด้อยกว่า สู้ไม่ได้,y
劣等感,れっとうかん,ปมด้อย,
助演,じょえん,ตัวประกอบ,y
助言,じょげん,ให้คำปรึกษา แนะนำ,
努める,つとめる,พยายาม,
勤勉,きんべん,ขยัน ความอุตสาหะ,y
包囲,ほうい,การล้อม การเข้าไปล้อม,y
包括,ほうかつ,ครอบคลุมทั้งหมด,
包装,ほうそう,การห่อ การบรรจุหีบห่อ,y
医食同源,いしょくどうげん,（四字熟語） แนวความคิดการสร้างสมดุลระหว่างสุขภาพและการรับประทานอาหาร,y
匿名,とくめい,นิรนาม นามแฝง,y
半導体,はんどうたい,สารกึ่งตัวนำ,y
卑劣,ひれつ,ต่ำช้า,y
卑猥,ひわい,ชั้นต่ำ สกปรก,
卒なく,そつなく,อย่างไม่มีตำหนิ ไม่ด่างพร้อย แม่นยำ,
協調,きょうちょう,การประนีประนอม,y
南京錠,なんきんじょう,แม่กุญแจตัวยู,y
単純明快,たんじゅんめいかい,เข้าใจง่าย เรียบง่าย (四字熟語),y
博打,ばくち,การเล่นพนัน,y
博打こき,ばくちこき,นักพนัน มือพนัน,y
博覧強記,はくらんきょうき,（四字熟語） ความรู้ความอ่านเป็นเลิศ,y
占める,しめる,ยึดครอง กินเนื้อที่,y
危急存亡,ききゅうそんぼう,（四字熟語） เรื่องเสี่ยง คอขาดบาดตาย,y
危機一髪,ききいっぱつ,（四字熟語） เส้นยาแดงผ่าแปด,y
即座,そくざ,ทันที ตรงนั้นเลย เดี๋ยวนั้นเลย,
原始人,げんしじん,ผู้บุกเบิก,y
原子,げんし,อะตอม,y
原子核,げんしかく,นิวเคลียส,y
原稿,げんこう,ต้นฉบับ โพยสคริปต์บทพูด,y
厨房,ちゅうぼう,ครัว (ち),y
厳密,げんみつ,ละเอียดละออ เคร่งครัด,
参照渡し,さんしょうわたし,(en: passed by reference),y
反比例,はんひれい,แปรผกผัน,y
収める,おさめる,ได้รับ เก็บ บรรจุ,
収容所,しゅうようじょ,ค่ายกักกัน,y
取り締まる,とりしまる,ควบคุม ดูแล สอดส่อง ตรวจตรา,y
取引履歴,とりひきりれき,ประวัติการทำธุรธรรม,y
取捨,しゅしゃ,การคัดเลือก,y
口実,こうじつ,ข้ออ้าง ข้อแก้ตัว,
口蓋,こうがい,เพดานปาก,y
口蓋垂,こうがいすい,ลิ้นไก่ (漢字),y
口車に乗せる,くちぐるまにのせる,หลอกล่อให้หลงเชื่อ,y
古典,こてん,เป็นธรรมเนียมปฏิบัติ วรรณคดี ศิลปะโบราณ เก่าแก่,
句読点,くとうてん,จุดแบ่งวรรคตอน,y
可逆圧縮,かぎゃくあっしゅく,(en: lossless compression),y
台形,だいけい,สี่เหลี่ยมคางหมู,y
叱責,しっせき,ตำหนิ,
司法権,しほうけん,อำนาจตุลาการ,y
同工異曲,どうこういきょく,（四字熟語） ภายนอกต่างกันแต่ภายในเหมือนกัน,y
同胞,どうほう,เพื่อนร่วมชาติ เพื่อนร่วมเผ่าพันธุ์ พี่น้องในสายเลือด,y
名目,めいもく,ชื่อเรียก ข้ออ้างที่ยกมาบังหน้า,y
名誉毀損,めいよきそん,การทำให้เสียชื่อเสียง,y
吟じる,ぎんじる,ขับกลอน ร้อง,y
否めない,いなめない,หลีกเลี่ยงไม่ได้ ปฏิเสธไม่ได้,y
呆れる,あきれる,งงจนทำอะไรไม่ถูก พูดไม่ออก,y
呆気に取られる,あっけにとられる,ตกตะลึง,
呈する,ていする,ถวาย แสดง,
呉越同舟,ごえつどうしゅう,（四字熟語） ศัตรูขึ้นเรือลำเดียวกัน,y
呼応,こおう,การขานรับ การทำงานประสานกัน,y
咀嚼,そしゃく,การเคี้ยว,y
咆哮,ほうこう,การคำราม,y
咎める,とがめる,ตำหนิติเตียน ถามแบบตั้งแง่ ถามแบบสงสัย,y
咳払い,せきばらい,กระแอม,y
商売,しょうばい,การค้าขาย,
善意,ぜんい,ความปรารถนาดี จิตใจที่เอื้ออาธร,y
喘ぐ,あえぐ,คราง หายใจหอบ,y
喜怒哀楽,きどあいらく,（四字熟語）อารมณ์ทั้งหลายของมนุษย์,y
喧騒,けんそう,เสียงอึกทึก,y
営む,いとなむ,ทำธุรกิจ บริหารธุรกิจ (訓読み),y
嗅覚,きゅうかく,การรับกลิ่น,y
嗚咽,おえつ,การร้องไห้สะอึกสะอื้น,y
嗜む,たしなむ,ชิม ลิ้มรส (!あ),y
嘆く,なげく,คร่ำครวญ โศกเศร้า ถอนหายใจ,y
嘔吐,おうと,อ้วก (漢字2文字),y
嘶く,いななく,(ม้า)ร้อง,y
囚人,しゅうじん,นักโทษ,y
四季折々,しきおりおり,ตามแต่ฤดูกาล,y
四方八方,しほうはっぽう,（四字熟語） ทุกทิศทุกทาง ทั่วทุกสารทิศ,y
因む,ちなむ,เกี่ยวพัน เกี่ยวข้อง (～む),y
因数分解,いんすうぶんかい,การแยกตัวประกอบ,y
因果,いんが,สาเหตุและผล ผลกรรม,y
固執,こしつ,การยืนกราน การยืนหยัดยึดมั่นในความคิด,y
国連,こくれん,องค์การสหประชาชาติ,y
国連民間高等弁務官事務所,こくれんみんかんこうとうべんむかんじむしょ,สำนักงานข้าหลวงใหญ่ผู้ลี้ภัยแห่งสหประชาชาติ (UNHCR),y
土俵,どひょう,เวทีเล่นซูโม่,y
土砂降り,どしゃぶり,ฝนตกหนักมาก,
圧政,あっせい,ทรราชย์ การปกครองโดยการกดขี่,y
地中海,ちちゅうかい,ทะเลเมดิเตอร์เรเนียน,y
地毛,じげ,ขนจริง ผมจริง,y
均一,きんいつ,เท่ากัน เสมอกัน,
垂れる,たれる,ห้อย ย้อย ย้วย,y
垂直,すいちょく,ตั้งฉาก แนวดิ่ง,y
執筆,しっぴつ,การเขียน,y
執行猶予,しっこうゆうよ,รอลงอาญา,y
基幹,きかん,แกนกลาง เป็นหลัก,y
堅実,けんじつ,มั่นคง หนักแน่น,y
報う,むくう,ตอบแทน,
報道官,ほうどうかん,โฆษก,y
塒,とぐろ,การขดตัวเป็นวงกลม,y
塞ぐ,ふさぐ,ปิด (ปิดปาก ปิดจมูก ปิดฝา),y
境目,さかいめ,เส้นแบ่งขอบเขต,y
売れ行き,うれゆき,ยอดขาย,
変貌,へんぼう,การเปลี่ยนโฉมหน้า การเปลี่ยนรูปลักษณ์,y
外交政策,がいこうせいさく,นโยบายทางการทูต,y
外科医,げかい,ศัลยแพทย์,y
多事多難,たじたなん,（四字熟語） มากเรื่องมากความ ยุ่งยาก,y
大らか,おおらか,ใจกว้าง คนง่าย ๆ,
大同小異,だいどうしょうい,（四字熟語） ต่างกันแค่รายละเอียดเล็ก ๆ แต่โดยรวมแล้วก็เหมือนกัน,y
大器晩成,たいきばんせい,（四字熟語） ความสำเร็จต้องใช้เวลากว่าจะได้มา,y
大御所,おおごしょ,ผู้ยิ่งใหญ่ในวงการ,y
大木,たいぼく,ต้นไม้ใหญ่,y
大胆,だいたん,ความกล้าหาญ,
大腸,だいちょう,ลำไส้ใหญ่,y
大衆,だいしゅう,สาธารณะ,
大願成就,たいがんじょうじゅ,（四字熟語） คำอธิษฐานที่สัมฤทธิ์ผล,y
大黒柱,だいこくばしら,เสาหลักของครอบครัว,y
天下太平／天下泰平,てんかたいへい／てんかたいへい,（四字熟語） ความสงบสุขที่มีในประเทศ,y
天変地異,てんぺんちい,（四字熟語） สภาพผิดปกติที่เกิดขึ้นของภัยธรรมชาติ,y
天守閣,てんしゅかく,ป้อมปราการในปราสาท,y
天王星,てんのうせい,ดาวยูเรนัส,y
天道虫,てんとうむし,แมลงเต่าทอง,y
失態,しったい,การทำผิดพลาด ความผิดพลาด เสื่อมเสีย,
失敗をしでかす,しっぱいをしでかす,ทำผิดพลาด ทำพลาด,y
失神する,しっしんする,เป็นลม สลบ,
奉納,ほうのう,การถวายเป็นเครื่องสักการะบูชา,y
女王蜂,じょおうばち,นางพญาผึ้ง,y
好奇心,こうきしん,ความอยากรู้อยากเห็น จิตที่ใฝ่รู้,
妥当,だとう,เหมาะสม,
妨げる,さまたげる,ขัดขวาง กีดกั้น,
妬む,ねたむ,อิจฉา ชิงชัง,
妻子,さいし,ภรรยาและลูก,y
姪,めい,หลานสาว,y
威嚇,いかく,การข่มขวัญ,y
威張る,いばる,หยิ่งยโส ทนงตัว เบ่ง,
婦警,ふけい,ตำรวจหญิง,y
媒介,ばいかい,การเป็นตัวกลาง การเป็นพาหะ,y
媚びる,こびる,ยั่วยวน ประจบประแจง (和語),y
媚薬,びやく,ยาเสน่ห์ ยากระตุ้น,y
嫌悪,けんお,ความเกลียดชัง ความขยะแขยง,
字下げ,じさげ,ย่อหน้า (tab),y
存命,ぞんめい,การมีชีวิตอยู่,
孤軍奮闘,こぐんふんとう,（四字熟語） การต่อสู้โดยลำพังโดยไม่มีใครช่วย,y
守備,しゅび,การป้องกัน,
安楽死,あんらくし,การุณยฆาต,
宙返り,ちゅうがえり,การตีลังกากลางอากาศ,y
定規,じょうぎ,ไม้บรรทัด (ไม่มี padding),y
実践,じっせん,การปฏิบัติจริง การนำทฤษฎีมาใช้ในทางปฏิบัติ,y
害虫駆除,がいちゅうくじょ,การกำจัดแมลงศัตรูพืช,y
家来,けらい,ข้าทาส ลูกน้อง สมุน,y
家畜,かちく,ปศุสัตว์,y
家臣,かしん,ข้ารับใช้,
家計,かけい,ค่าใช้จ่ายภายในครอบครัว,y
宿直,しゅくちょく,เวรกลางคืน,y
密命,みつめい,คำสั่งภายใน คำสั่งลับ,y
富貴,ふうき,คนที่ร่ำรวยและมีสถานภาพทางสังคมสูง,y
寛ぐ,くつろぐ,ทำตัวตามสบาย,y
寛大,かんだい,ใจกว้าง มีน้ำใจ,
寛容,かんよう,ไม่เคร่งครัด,y
寝相,ねぞう,ท่านอน,y
寸足らず,すんたらず,สั้นเกินไปหน่อย,y
対数目盛,たいすうめもり,สเกลลอการิธึม,y
対照的,たいしょうてき,เชิงเปรียบเทียบ,
専有,せんゆう,การครอบครองแต่เพียงผู้เดียว,y
射程,しゃてい,พิกัดการยิง ขอบเขตอำนาจ,y
尊い,とうとい,สูงศักดิ์ ล้ำค่า,y
尊ぶ,とうとぶ,เคารพ นับถือ เทิดทูน ยกย่อง (!う),y
導火線,どうかせん,สายชนวน ชนวนก่อเหตุ,y
小惑星,しょうわくせい,ดาวเคราะห์น้อย,y
小腸,しょうちょう,ลำไส้เล็ก,y
尚更,なおさら,ยิ่งขึ้น ยิ่งกว่านั้น,
就航,しゅうこう,การบินของเครื่องบินประจำเส้นทางตามปกติ,y
尺取虫,しゃくとりむし,หนอนคืบ,y
屈む,かがむ,นั่งยอง,y
屈折,くっせつ,การหักเห (ของคลื่น/แสง),y
山括弧,やまかっこ,วงเล็บมุมเหลี่ยม ＜＞,y
岐路,きろ,ทางแยก,
峠,とうげ,สันเขา จุดที่สูงที่สุด จุดพีค,y
工夫,くふう,การประยุกต์ดัดแปลง,y
巧み,たくみ,ความฉลาด,
巷,ちまた,กลางเมือง จุดเกิดเหตุ,
巻き尺,まきじゃく,ตลับเมตร,y
巻末,かんまつ,ตอนจบของหนังสือ ตอนท้ายของหนังสือ,y
巻頭,かんとう,ช่วงเริ่มของหนังสือ บทกลอน,y
市庁舎,しちょうしゃ,อาคารเทศบาลเมือง,y
市松模様,いちまつもよう,ลายตารางหมากรุก,y
帰一算,きいちざん,บัญญัติไตรยางค์,y
帰国子女,きこくしじょ,คนที่เดินทางกลับประเทศของตน,y
（帽子の）鍔,つば,ปีกหมวก,y
幕末,ばくまつ,ช่วงปลายของยุครัฐบาลโชกุน,y
干拓,かんたく,การถมดินเพื่อนำมาใช้ประโยชน์,y
干渉,かんしょう,การแทรกสอด การแทรกแซง การรบกวน (ของคลื่นสัญญาณ),y
平々凡々,へいへいぼんぼん,ธรรมด๊าธรรมดา สามัญ,y
平行四辺形,へいこうしへんけい,สี่เหลี่ยมด้านขนาน,y
幹,みき,ลำต้น แกน,y
幼年期,ようねんき,วัยทารก วัยเด็ก,y
幾何学,きかがく,เรขาคณิต,y
序文,じょぶん,คำนำ,y
度胸,どきょう,กล้าหาญ จิตใจมุ่งมั่น,y
庶民,しょみん,ชาวบ้าน ประชาชน,
廃れる,すたれる,เลิกใช้ ล้าสมัย เสื่อม,y
弁える,わきまえる,ใช้วิจารณญาณแยกแยะได้อย่างถูกต้อง รู้ผิดรู้ถูก,y
弁解,べんかい,การแก้ตัว การชี้แจง,y
引き裂く,ひきさく,ฉีก ทำให้แยกทางกัน,y
弥勒菩薩,みろくぼさつ,พระศรีอริยเมตไตรย,y
強行,きょうこう,การฝืนทำ การบังคับ,
強行採決,きょうこうさいけつ,การฝืนลงคะแนนตัดสิน,y
強調,きょうちょう,เน้น,y
強迫性障害,きょうはくせいしょうがい,โรคย้ำคิดย้ำทำ (OCD),y
彗星,すいせい,ดาวหาง,y
彩る,いろどる,แต่งเติมสีสัน,y
往時,おうじ,สมัยโบราณ อดีต,
待ち構える,まちかまえる,เตรียมรอ เฝ้ารอ,
待ち針,まちばり,เข็มหมุด,y
待遇,たいぐう,การต้อนรับแขก การได้รับการปฏิบัติ,
律する,りっする,กำหนด ปฏิบัติ,
後ろ盾,うしろだて,ผู้สนับสนุน ผู้หนุนหลัง,y
徐に,おもむろに,จู่ ๆ ก็ อยู่ดี ๆ ก็,
徐行,じょこう,การชะลอรถ,y
徒競走,ときょうそう,การวิ่งแข่ง,y
従来,じゅうらい,จากอดีตถึงปัจจุบัน,y
従順,じゅうじゅん,ว่าง่าย ที่เชื่อฟัง,
復号化,ふくごうか,การถอดรหัส,y
復興,ふっこう,การกลับมารุ่งเรือง การฟื้นฟูบูรณะ,
徹底,てってい,การทำถึงที่สุด การทำอย่างเต็มที่,y
志,こころざし,ความตั้งใจ ความมุ่งมั่น ความปรารถนา,y
志向,しこう,ตั้งใจ เจตนา จงใจ,
応急処置,おうきゅうしょち,การปฐมพยาบาลเบื้องต้น,y
忠告する,ちゅうこくする,ให้คำปรึกษา แนะนำ,
忠実,ちゅうじつ,ซื่อสัตย์ ซื่อตรง จริงจัง ตามความเป็นจริง,
忠誠,ちゅうせい,ความซื่อสัตย์,
快い,こころよい,สบายใจ สนุกสนาน พอใจ ยินดี,
怠ける,なまける,ทำตัวขี้เกียจ นั่ง ๆ นอน ๆ ไม่ทำอะไร,y
怠る,おこたる,ไม่สนใจ ไม่เอาใจใส่,y
怯える,おびえる,ตื่นตระหนก ตกใจกลัว,y
恒例,こうれい,เหมือนทุกครั้ง เหมือนที่เคยผ่านมา สิ่งที่ทำติดต่อกันมาจนเป็นประเพณี,y
恥じらい,はじらい,ขี้อาย,y
恩恵,おんけい,ความกรุณา พระคุณ,
恩赦,おんしゃ,การอภัยโทษ,y
息継ぎ,いきつぎ,การหายใจระหว่างร้องเพลงหรือเป่าเครื่องดนตรี,y
悟る,さとる,บรรลุแจ้ง ตระหนัก เข้าใจ,y
情勢,じょうせい,สถานการณ์ปัจจุบัน,y
情熱,じょうねつ,ความคลั่งไคล้,y
惚ける,とぼける,แกล้งทำเป็นใสซื่อ เปิ่น แกล้งโง่,y
意地張る,いじはる,ดื้อรั้น,y
意気投合,いきとうごう,（四字熟語） คิดเหมือนกัน ใจตรงกัน,y
意気消沈,いきしょうちん,（四字熟語） หมดอาลัยตายอยาก,y
愕然,がくぜん,ตะลึง,
愚痴,ぐち,การบ่นไม่เป็นเรื่อง,
感激,かんげき,ความตื้นตัน ความประทับใจ,
慎重,しんちょう,อย่างรอบคอบ อย่างระมัดระวัง อย่างละเอียดถี่ถ้วน,
慣用句,かんようく,สำนวนโวหาร,
憩い,いこい,การพักผ่อน,
憩いの場,いこいのば,สถานที่พักผ่อน,y
成す術がない,なすすべがない,ไม่มีทางทำอะไรได้ ทำอะไรไม่ได้เลย ไม่มีหนทาง,y
成熟,せいじゅく,การเจริญเติบโตเต็มที่,y
